cc_name,uc_campus,year,share_gender_female,share_gender_male,share_gender_other,share_gender_unknown
ALLAN HANCOCK,Berkeley,2006,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2007,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2008,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2009,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2010,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2011,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2012,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2013,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2014,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2015,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2016,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2017,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2018,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2019,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2020,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2021,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2022,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2023,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Berkeley,2024,0.0,1.0,0.0,0.0
ALLAN HANCOCK,Davis,2006,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2007,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2008,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2009,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2010,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2011,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2012,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2013,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2014,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2015,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2016,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2017,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2018,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2019,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2020,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2021,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2022,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2023,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Davis,2024,0.6666666666666666,0.3333333333333333,0.0,
ALLAN HANCOCK,Irvine,2006,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2007,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2008,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2009,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2010,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2011,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2012,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2013,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2014,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2015,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2016,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2017,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2018,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2019,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2020,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2021,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2022,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2023,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Irvine,2024,1.0,0.0,0.0,0.0
ALLAN HANCOCK,Los Angeles,2006,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2007,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2008,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2009,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2010,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2011,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2012,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2013,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2014,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2015,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2016,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2017,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2018,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2019,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2020,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2021,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2022,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2023,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Los Angeles,2024,0.75,0.25,0.0,0.0
ALLAN HANCOCK,Merced,2006,,,,
ALLAN HANCOCK,Merced,2007,,,,
ALLAN HANCOCK,Merced,2008,,,,
ALLAN HANCOCK,Merced,2009,,,,
ALLAN HANCOCK,Merced,2010,,,,
ALLAN HANCOCK,Merced,2011,,,,
ALLAN HANCOCK,Merced,2012,,,,
ALLAN HANCOCK,Merced,2013,,,,
ALLAN HANCOCK,Merced,2014,,,,
ALLAN HANCOCK,Merced,2015,,,,
ALLAN HANCOCK,Merced,2016,,,,
ALLAN HANCOCK,Merced,2017,,,,
ALLAN HANCOCK,Merced,2018,,,,
ALLAN HANCOCK,Merced,2019,,,,
ALLAN HANCOCK,Merced,2020,,,,
ALLAN HANCOCK,Merced,2021,,,,
ALLAN HANCOCK,Merced,2022,,,,
ALLAN HANCOCK,Merced,2023,,,,
ALLAN HANCOCK,Merced,2024,,,,
ALLAN HANCOCK,Riverside,2006,,,,
ALLAN HANCOCK,Riverside,2007,,,,
ALLAN HANCOCK,Riverside,2008,,,,
ALLAN HANCOCK,Riverside,2009,,,,
ALLAN HANCOCK,Riverside,2010,,,,
ALLAN HANCOCK,Riverside,2011,,,,
ALLAN HANCOCK,Riverside,2012,,,,
ALLAN HANCOCK,Riverside,2013,,,,
ALLAN HANCOCK,Riverside,2014,,,,
ALLAN HANCOCK,Riverside,2015,,,,
ALLAN HANCOCK,Riverside,2016,,,,
ALLAN HANCOCK,Riverside,2017,,,,
ALLAN HANCOCK,Riverside,2018,,,,
ALLAN HANCOCK,Riverside,2019,,,,
ALLAN HANCOCK,Riverside,2020,,,,
ALLAN HANCOCK,Riverside,2021,,,,
ALLAN HANCOCK,Riverside,2022,,,,
ALLAN HANCOCK,Riverside,2023,,,,
ALLAN HANCOCK,Riverside,2024,,,,
ALLAN HANCOCK,San Diego,2006,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2007,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2008,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2009,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2010,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2011,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2012,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2013,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2014,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2015,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2016,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2017,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2018,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2019,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2020,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2021,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2022,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2023,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,San Diego,2024,0.6666666666666666,0.3333333333333333,0.0,0.0
ALLAN HANCOCK,Santa Barbara,2006,0.5172413793103449,0.3793103448275862,0.10344827586206896,0.0
ALLAN HANCOCK,Santa Barbara,2007,0.5172413793103449,0.3793103448275862,0.10344827586206896,0.0
ALLAN HANCOCK,Santa Barbara,2008,0.5172413793103449,0.3793103448275862,0.10344827586206896,0.0
ALLAN HANCOCK,Santa Barbara,2009,0.5172413793103449,0.3793103448275862,0.10344827586206896,0.0
ALLAN HANCOCK,Santa Barbara,2010,0.5172413793103449,0.3793103448275862,0.10344827586206896,0.0
