cc_key,year,cc_perm_resident_count
BUTTE,2024,120.0
BUTTE,2025,126.0
CABRILLO,2005,68.0
CABRILLO,2006,93.0
CABRILLO,2007,74.0
CABRILLO,2008,97.0
CABRILLO,2009,12.0
CABRILLO,2010,9.0
CABRILLO,2011,2.0
CABRILLO,2012,4.0
CABRILLO,2013,4.0
CABRILLO,2014,4.0
CABRILLO,2015,4.0
CABRILLO,2016,7.0
CABRILLO,2017,4.0
CABRILLO,2018,7.0
CABRILLO,2019,580.0
CABRILLO,2020,519.0
CABRILLO,2021,407.0
CABRILLO,2022,387.0
CABRILLO,2023,352.0
CABRILLO,2024,374.0
CABRILLO,2025,372.0
CANADA,2005,75.0
CANADA,2006,90.0
CANADA,2007,90.0
CANADA,2008,144.0
CANADA,2009,1006.0
CANADA,2010,900.0
CANADA,2011,667.0
CANADA,2012,704.0
CANADA,2013,637.0
CANADA,2014,678.0
CANADA,2015,644.0
CANADA,2016,618.0
CANADA,2017,609.0
CANADA,2018,583.0
CANADA,2019,437.0
CANADA,2020,441.0
CANADA,2021,370.0
CANADA,2022,361.0
CANADA,2023,359.0
CANADA,2024,346.0
CANADA,2025,388.0
CANYONS,2005,43.0
CANYONS,2006,97.0
CANYONS,2007,169.0
CANYONS,2008,209.0
CANYONS,2009,48.0
CANYONS,2010,41.0
CANYONS,2011,25.0
CANYONS,2012,24.0
CANYONS,2013,31.0
CANYONS,2014,53.0
CANYONS,2015,78.0
CANYONS,2016,84.0
CANYONS,2017,92.0
CANYONS,2018,102.0
CANYONS,2019,649.0
CANYONS,2020,599.0
CANYONS,2021,553.0
CANYONS,2022,501.0
CANYONS,2023,445.0
CANYONS,2024,464.0
CANYONS,2025,406.0
CERRITOS,2005,2006.0
CERRITOS,2006,3485.0
CERRITOS,2007,4345.0
CERRITOS,2008,4125.0
CERRITOS,2009,22900.0
CERRITOS,2010,22212.0
CERRITOS,2011,22920.0
CERRITOS,2012,22373.0
CERRITOS,2013,39.0
CERRITOS,2014,54.0
CERRITOS,2015,153.0
CERRITOS,2016,187.0
CERRITOS,2017,175.0
CERRITOS,2018,190.0
CERRITOS,2019,1157.0
CERRITOS,2020,1251.0
CERRITOS,2021,1016.0
CERRITOS,2022,899.0
CERRITOS,2023,126.0
CERRITOS,2024,139.0
CERRITOS,2025,175.0
CERRO COSO,2005,5.0
CERRO COSO,2006,2.0
CERRO COSO,2007,28.0
CERRO COSO,2008,72.0
CERRO COSO,2009,5555.0
CERRO COSO,2010,6009.0
CERRO COSO,2011,6234.0
CERRO COSO,2012,5396.0
CERRO COSO,2013,2.0
CERRO COSO,2014,6.0
CERRO COSO,2015,9.0
CERRO COSO,2016,9.0
CERRO COSO,2017,14.0
CERRO COSO,2018,19.0
CERRO COSO,2019,134.0
CERRO COSO,2020,148.0
CERRO COSO,2021,122.0
CERRO COSO,2022,117.0
CERRO COSO,2023,108.0
CERRO COSO,2024,98.0
CERRO COSO,2025,109.0
CHABOT HAYWARD,2005,32.0
CHABOT HAYWARD,2006,8.0
CHABOT HAYWARD,2007,9.0
CHABOT HAYWARD,2008,18.0
CHABOT HAYWARD,2009,12918.0
CHABOT HAYWARD,2010,13455.0
CHABOT HAYWARD,2011,13116.0
CHABOT HAYWARD,2012,12006.0
CHABOT HAYWARD,2013,49.0
CHABOT HAYWARD,2014,76.0
CHABOT HAYWARD,2015,73.0
CHABOT HAYWARD,2016,104.0
CHABOT HAYWARD,2017,119.0
CHABOT HAYWARD,2018,117.0
