cc_name,uc_campus,cc_uc_distance_miles,cc_uc_drive_hours
CHAFFEY,Davis,431.5,6.84
CHAFFEY,Irvine,54.3,0.96
CHAFFEY,Los Angeles,39.63,0.7
CHAFFEY,Merced,312.7,5.02
CHAFFEY,Riverside,28.78,0.76
CHAFFEY,San Diego,115.23,1.78
CHAFFEY,University of California-San Francisco,419.58,6.7
CHAFFEY,Santa Barbara,142.61,2.27
CHAFFEY,Santa Cruz,379.35,6.25
CITRUS,Berkeley,390.57,6.29
CITRUS,Davis,413.41,6.59
CITRUS,Irvine,44.12,0.84
CITRUS,Los Angeles,21.54,0.44
CITRUS,Merced,294.62,4.77
CITRUS,Riverside,40.04,0.98
CITRUS,San Diego,109.68,1.76
CITRUS,University of California-San Francisco,401.5,6.46
CITRUS,Santa Barbara,124.53,2.02
CITRUS,Santa Cruz,361.26,5.99
CITY OF SAN FRANCISCO,Berkeley,19.5,0.63
CITY OF SAN FRANCISCO,Davis,77.61,1.4
CITY OF SAN FRANCISCO,Irvine,430.84,6.87
CITY OF SAN FRANCISCO,Los Angeles,389.9,6.24
CITY OF SAN FRANCISCO,Merced,139.81,2.47
CITY OF SAN FRANCISCO,Riverside,440.54,7.08
CITY OF SAN FRANCISCO,San Diego,522.62,8.25
CITY OF SAN FRANCISCO,University of California-San Francisco,3.74,0.25
CITY OF SAN FRANCISCO,Santa Barbara,330.51,5.22
CITY OF SAN FRANCISCO,Santa Cruz,74.48,1.35
CLOVIS,Berkeley,186.75,3.26
CLOVIS,Davis,205.25,3.57
CLOVIS,Irvine,275.82,4.48
CLOVIS,Los Angeles,234.88,3.86
CLOVIS,Merced,63.82,1.22
CLOVIS,Riverside,285.52,4.69
CLOVIS,San Diego,367.6,5.87
CLOVIS,University of California-San Francisco,200.38,3.53
CLOVIS,Santa Barbara,248.58,4.16
CLOVIS,Santa Cruz,162.15,3.04
WEST HILLS COALINGA,Berkeley,185.14,3.0
WEST HILLS COALINGA,Davis,207.99,3.32
WEST HILLS COALINGA,Irvine,245.51,3.87
WEST HILLS COALINGA,Los Angeles,204.57,3.24
WEST HILLS COALINGA,Merced,105.35,1.92
WEST HILLS COALINGA,Riverside,255.21,4.07
WEST HILLS COALINGA,San Diego,337.29,5.26
WEST HILLS COALINGA,University of California-San Francisco,196.07,3.16
WEST HILLS COALINGA,Santa Barbara,199.86,3.34
WEST HILLS COALINGA,Santa Cruz,145.56,2.73
COASTLINE BEAUTY,Berkeley,412.45,6.67
COASTLINE BEAUTY,Davis,435.3,6.97
COASTLINE BEAUTY,Irvine,9.23,0.28
COASTLINE BEAUTY,Los Angeles,34.43,0.74
COASTLINE BEAUTY,Merced,316.5,5.14
COASTLINE BEAUTY,Riverside,46.21,1.29
COASTLINE BEAUTY,San Diego,78.95,1.26
COASTLINE BEAUTY,University of California-San Francisco,423.38,6.83
COASTLINE BEAUTY,Santa Barbara,141.0,2.35
COASTLINE BEAUTY,Santa Cruz,383.15,6.39
COASTLINE,Berkeley,412.47,6.64
COASTLINE,Davis,435.32,6.94
COASTLINE,Irvine,8.74,0.26
COASTLINE,Los Angeles,35.35,0.69
COASTLINE,Merced,316.53,5.12
COASTLINE,Riverside,50.32,1.3
COASTLINE,San Diego,78.46,1.23
COASTLINE,University of California-San Francisco,423.41,6.8
COASTLINE,Santa Barbara,141.02,2.33
COASTLINE,Santa Cruz,383.17,6.36
ALAMEDA,Berkeley,8.95,0.39
ALAMEDA,Davis,70.01,1.21
ALAMEDA,Irvine,416.24,6.62
ALAMEDA,Los Angeles,375.3,5.99
ALAMEDA,Merced,125.21,2.25
ALAMEDA,Riverside,425.94,6.84
ALAMEDA,San Diego,508.02,8.01
ALAMEDA,University of California-San Francisco,16.99,0.53
ALAMEDA,Santa Barbara,323.37,5.19
ALAMEDA,Santa Cruz,74.63,1.44
MARIN,Berkeley,20.93,0.64
MARIN,Davis,72.65,1.3
MARIN,Irvine,437.13,6.92
MARIN,Los Angeles,396.18,6.3
MARIN,Merced,146.09,2.51
MARIN,Riverside,446.82,7.14
MARIN,San Diego,528.9,8.3
MARIN,University of California-San Francisco,17.42,0.49
MARIN,Santa Barbara,345.15,5.56
MARIN,Santa Cruz,96.42,1.78
SAN MATEO,Berkeley,39.75,0.85
SAN MATEO,Davis,94.66,1.67
SAN MATEO,Irvine,415.69,6.52
SAN MATEO,Los Angeles,374.74,5.9
SAN MATEO,Merced,133.25,2.34
SAN MATEO,Riverside,425.38,6.74
SAN MATEO,San Diego,507.46,7.93
SAN MATEO,University of California-San Francisco,23.86,0.57
SAN MATEO,Santa Barbara,314.41,4.94
SAN MATEO,Santa Cruz,58.37,1.1
CANYONS,Berkeley,341.31,5.4
CANYONS,Davis,364.15,5.69
CANYONS,Irvine,81.4,1.43
CANYONS,Los Angeles,43.05,0.76
CANYONS,Merced,245.36,3.91
CANYONS,Riverside,88.15,1.63
CANYONS,San Diego,147.33,2.37
CANYONS,University of California-San Francisco,352.24,5.55
CANYONS,Santa Barbara,85.75,1.49
CANYONS,Santa Cruz,312.0,5.08
DESERT,Berkeley,491.92,7.85
DESERT,Davis,514.76,8.18
DESERT,Irvine,109.29,2.02
DESERT,Los Angeles,116.83,1.89
DESERT,Merced,395.97,6.36
DESERT,Riverside,65.05,1.26
DESERT,San Diego,116.89,2.24
DESERT,University of California-San Francisco,502.85,8.03
DESERT,Santa Barbara,225.87,3.54
DESERT,Santa Cruz,462.61,7.58
REDWOODS,Berkeley,264.85,4.67
REDWOODS,Davis,275.62,4.97
REDWOODS,Irvine,681.04,11.24
REDWOODS,Los Angeles,640.09,10.3
REDWOODS,Merced,390.01,6.54
REDWOODS,Riverside,690.74,11.11
REDWOODS,San Diego,750.75,12.43
REDWOODS,University of California-San Francisco,262.84,4.61
REDWOODS,Santa Barbara,589.07,9.58
REDWOODS,Santa Cruz,340.33,5.82
SEQUOIAS,Berkeley,228.55,3.68
SEQUOIAS,Davis,251.4,3.98
SEQUOIAS,Irvine,227.53,3.73
SEQUOIAS,Los Angeles,186.59,3.1
SEQUOIAS,Merced,101.07,1.64
SEQUOIAS,Riverside,237.23,3.94
SEQUOIAS,San Diego,319.31,5.11
SEQUOIAS,University of California-San Francisco,239.48,3.84
SEQUOIAS,Santa Barbara,227.94,3.8
SEQUOIAS,Santa Cruz,204.09,3.46
SISKIYOUS,Berkeley,276.13,4.52
SISKIYOUS,Davis,223.41,3.61
SISKIYOUS,Irvine,656.56,10.31
SISKIYOUS,Los Angeles,615.62,9.68
SISKIYOUS,Merced,347.47,5.64
SISKIYOUS,Riverside,666.26,10.49
SISKIYOUS,San Diego,726.28,11.32
SISKIYOUS,University of California-San Francisco,286.74,4.64
SISKIYOUS,Santa Barbara,594.02,9.3
SISKIYOUS,Santa Cruz,346.13,5.58
COLUMBIA,Berkeley,127.23,2.45
COLUMBIA,Davis,106.18,2.1
COLUMBIA,Irvine,377.78,6.29
COLUMBIA,Los Angeles,336.84,5.67
COLUMBIA,Merced,58.69,1.23
COLUMBIA,Riverside,387.48,6.51
