field,major,enrolls,year,cc_name,uc_campus
SOCIAL SCIENCES,Sociology,3,2016,CHAFFEY,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",4,2017,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2017,CHAFFEY,Irvine
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2017,CHAFFEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",3,2017,CHAFFEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,5,2017,CHAFFEY,Riverside
ENGINEERING,Mechanical Engineering,3,2017,CHAFFEY,Riverside
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,2017,CHAFFEY,Riverside
PHYSICAL SCIENCES,Chemistry,4,2017,CHAFFEY,Riverside
PSYCHOLOGY,"Psychology, General",6,2017,CHAFFEY,Riverside
PSYCHOLOGY,Research and Experimental Psychology,4,2017,CHAFFEY,Irvine
SOCIAL SCIENCES,Anthropology,4,2017,CHAFFEY,Los Angeles
SOCIAL SCIENCES,Anthropology,3,2017,CHAFFEY,Riverside
SOCIAL SCIENCES,Sociology,3,2017,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",3,2018,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2018,CHAFFEY,Irvine
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",7,2018,CHAFFEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,2018,CHAFFEY,Irvine
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",8,2018,CHAFFEY,Riverside
ENGINEERING,Chemical Engineering,4,2018,CHAFFEY,Riverside
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,2018,CHAFFEY,Riverside
HISTORY,History,3,2018,CHAFFEY,Riverside
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,3,2018,CHAFFEY,San Diego
PSYCHOLOGY,"Psychology, General",4,2018,CHAFFEY,Los Angeles
PSYCHOLOGY,"Psychology, General",12,2018,CHAFFEY,Riverside
PSYCHOLOGY,Research and Experimental Psychology,6,2018,CHAFFEY,Irvine
PSYCHOLOGY,Research and Experimental Psychology,3,2018,CHAFFEY,Santa Barbara
SOCIAL SCIENCES,Economics,3,2018,CHAFFEY,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,5,2018,CHAFFEY,Berkeley
SOCIAL SCIENCES,Political Science and Government,4,2018,CHAFFEY,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",6,2019,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2019,CHAFFEY,San Diego
BIOLOGICAL AND BIOMEDICAL SCIENCES,Cell/Cellular Biology and Anatomical Sciences,4,2019,CHAFFEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",17,2019,CHAFFEY,Riverside
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",7,2019,CHAFFEY,Riverside
HISTORY,History,3,2019,CHAFFEY,Santa Barbara
PSYCHOLOGY,Research and Experimental Psychology,5,2019,CHAFFEY,Irvine
PSYCHOLOGY,Research and Experimental Psychology,9,2019,CHAFFEY,Riverside
SOCIAL SCIENCES,Anthropology,3,2019,CHAFFEY,Riverside
SOCIAL SCIENCES,Criminology,3,2019,CHAFFEY,Irvine
SOCIAL SCIENCES,International Relations and National Security Studies,3,2019,CHAFFEY,Riverside
SOCIAL SCIENCES,Political Science and Government,6,2019,CHAFFEY,Los Angeles
SOCIAL SCIENCES,Political Science and Government,5,2019,CHAFFEY,Riverside
SOCIAL SCIENCES,Sociology,4,2019,CHAFFEY,Irvine
SOCIAL SCIENCES,Sociology,3,2019,CHAFFEY,Los Angeles
SOCIAL SCIENCES,Sociology,11,2019,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",3,2020,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",13,2020,CHAFFEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",17,2020,CHAFFEY,Riverside
EDUCATION,Social and Philosophical Foundations of Education,4,2020,CHAFFEY,Riverside
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Romance Languages, Literatures, and Linguistics",3,2020,CHAFFEY,Riverside
MATHEMATICS AND STATISTICS,Mathematics,3,2020,CHAFFEY,Riverside
PHYSICAL SCIENCES,Chemistry,3,2020,CHAFFEY,Riverside
PSYCHOLOGY,Research and Experimental Psychology,5,2020,CHAFFEY,Irvine
PSYCHOLOGY,Research and Experimental Psychology,13,2020,CHAFFEY,Riverside
SOCIAL SCIENCES,Anthropology,6,2020,CHAFFEY,Riverside
SOCIAL SCIENCES,Economics,4,2020,CHAFFEY,San Diego
SOCIAL SCIENCES,Political Science and Government,3,2020,CHAFFEY,Los Angeles
SOCIAL SCIENCES,Sociology,9,2020,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2021,CHAFFEY,Irvine
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",9,2021,CHAFFEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",17,2021,CHAFFEY,Riverside
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,4,2021,CHAFFEY,Riverside
ENGINEERING,Biomedical/Medical Engineering,3,2021,CHAFFEY,Riverside
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,2021,CHAFFEY,Irvine
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,2021,CHAFFEY,Los Angeles
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,2021,CHAFFEY,Los Angeles
HISTORY,History,3,2021,CHAFFEY,Riverside
PSYCHOLOGY,"Psychology, General",3,2021,CHAFFEY,Los Angeles
PSYCHOLOGY,Research and Experimental Psychology,10,2021,CHAFFEY,Riverside
SOCIAL SCIENCES,Criminology,4,2021,CHAFFEY,Irvine
SOCIAL SCIENCES,Economics,3,2021,CHAFFEY,Berkeley
SOCIAL SCIENCES,Economics,5,2021,CHAFFEY,San Diego
SOCIAL SCIENCES,Political Science and Government,3,2021,CHAFFEY,Irvine
SOCIAL SCIENCES,Political Science and Government,3,2021,CHAFFEY,Los Angeles
SOCIAL SCIENCES,Sociology,5,2021,CHAFFEY,Los Angeles
SOCIAL SCIENCES,Sociology,13,2021,CHAFFEY,Riverside
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,3,2021,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",12,2022,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,Cell/Cellular Biology and Anatomical Sciences,3,2022,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,3,2022,CHAFFEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",6,2022,CHAFFEY,Riverside
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,2022,CHAFFEY,Santa Barbara
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,2022,CHAFFEY,Riverside
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,2022,CHAFFEY,Riverside
NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,3,2022,CHAFFEY,Riverside
PSYCHOLOGY,"Psychology, General",4,2022,CHAFFEY,Irvine
PSYCHOLOGY,"Psychology, General",3,2022,CHAFFEY,Los Angeles
PSYCHOLOGY,Research and Experimental Psychology,6,2022,CHAFFEY,Riverside
SOCIAL SCIENCES,Anthropology,3,2022,CHAFFEY,Riverside
SOCIAL SCIENCES,Economics,3,2022,CHAFFEY,Riverside
SOCIAL SCIENCES,Economics,3,2022,CHAFFEY,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,3,2022,CHAFFEY,Irvine
SOCIAL SCIENCES,Political Science and Government,6,2022,CHAFFEY,Los Angeles
SOCIAL SCIENCES,Political Science and Government,6,2022,CHAFFEY,Riverside
SOCIAL SCIENCES,Sociology,4,2022,CHAFFEY,Los Angeles
SOCIAL SCIENCES,Sociology,6,2022,CHAFFEY,Riverside
"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES","Ethnic, Cultural Minority, Gender, and Group Studies",3,2023,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",5,2023,CHAFFEY,Irvine
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",8,2023,CHAFFEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",3,2023,CHAFFEY,Irvine
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",16,2023,CHAFFEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,2023,CHAFFEY,Los Angeles
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2023,CHAFFEY,Riverside
ENGLISH LANGUAGE AND LITERATURE/LETTERS,Rhetoric and Composition/Writing Studies,3,2023,CHAFFEY,Riverside
NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,3,2023,CHAFFEY,Riverside
PSYCHOLOGY,"Psychology, General",3,2023,CHAFFEY,Irvine
PSYCHOLOGY,"Psychology, General",3,2023,CHAFFEY,San Diego
PSYCHOLOGY,Research and Experimental Psychology,3,2023,CHAFFEY,Irvine
PSYCHOLOGY,Research and Experimental Psychology,6,2023,CHAFFEY,Riverside
SOCIAL SCIENCES,Anthropology,3,2023,CHAFFEY,Los Angeles
SOCIAL SCIENCES,Anthropology,3,2023,CHAFFEY,Riverside
SOCIAL SCIENCES,Criminology,3,2023,CHAFFEY,Irvine
SOCIAL SCIENCES,Political Science and Government,3,2023,CHAFFEY,Berkeley
SOCIAL SCIENCES,Political Science and Government,3,2023,CHAFFEY,Los Angeles
SOCIAL SCIENCES,Political Science and Government,6,2023,CHAFFEY,Riverside
SOCIAL SCIENCES,Sociology,7,2023,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,2024,CHAFFEY,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",9,2024,CHAFFEY,Riverside
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2024,CHAFFEY,San Diego
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",14,2024,CHAFFEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,2024,CHAFFEY,Los Angeles
HISTORY,History,3,2024,CHAFFEY,Los Angeles
PSYCHOLOGY,"Psychology, General",4,2024,CHAFFEY,Los Angeles
PSYCHOLOGY,Research and Experimental Psychology,3,2024,CHAFFEY,Riverside
PUBLIC ADMINISTRATION AND SOCIAL SERVICE PROFESSIONS,Public Policy Analysis,3,2024,CHAFFEY,Riverside
SOCIAL SCIENCES,Anthropology,3,2024,CHAFFEY,Riverside
SOCIAL SCIENCES,Economics,3,2024,CHAFFEY,Riverside
SOCIAL SCIENCES,Political Science and Government,3,2024,CHAFFEY,Berkeley
SOCIAL SCIENCES,Sociology,3,2024,CHAFFEY,Los Angeles
SOCIAL SCIENCES,Sociology,3,2024,CHAFFEY,Riverside
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,6,2024,CHAFFEY,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",7,2013,CITRUS,Riverside
HISTORY,History,3,2013,CITRUS,Los Angeles
MATHEMATICS AND STATISTICS,Mathematics,5,2013,CITRUS,Los Angeles
MATHEMATICS AND STATISTICS,Mathematics,4,2013,CITRUS,Riverside
PSYCHOLOGY,Research and Experimental Psychology,3,2013,CITRUS,Irvine
SOCIAL SCIENCES,Economics,3,2013,CITRUS,Berkeley
SOCIAL SCIENCES,Economics,3,2013,CITRUS,Davis
SOCIAL SCIENCES,Economics,3,2013,CITRUS,Santa Barbara
SOCIAL SCIENCES,Economics,3,2013,CITRUS,San Diego
SOCIAL SCIENCES,Sociology,3,2013,CITRUS,Santa Cruz
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2014,CITRUS,Los Angeles
PSYCHOLOGY,"Psychology, General",5,2014,CITRUS,Los Angeles
SOCIAL SCIENCES,Anthropology,3,2014,CITRUS,Los Angeles
SOCIAL SCIENCES,Economics,4,2014,CITRUS,Santa Barbara
SOCIAL SCIENCES,Political Science and Government,3,2014,CITRUS,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,2015,CITRUS,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,2015,CITRUS,Davis
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,2015,CITRUS,Irvine
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,2015,CITRUS,Los Angeles
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,2015,CITRUS,San Diego
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,2015,CITRUS,Berkeley
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2015,CITRUS,Los Angeles
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2015,CITRUS,Riverside
SOCIAL SCIENCES,Economics,4,2015,CITRUS,Santa Barbara
SOCIAL SCIENCES,Economics,8,2015,CITRUS,San Diego
SOCIAL SCIENCES,Political Science and Government,3,2015,CITRUS,Los Angeles
SOCIAL SCIENCES,Sociology,9,2015,CITRUS,Los Angeles
SOCIAL SCIENCES,Sociology,4,2015,CITRUS,Riverside
VISUAL AND PERFORMING ARTS,Drama/Theatre Arts and Stagecraft,5,2015,CITRUS,Irvine
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,2016,CITRUS,Riverside
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,2016,CITRUS,Los Angeles
HEALTH PROFESSIONS AND RELATED PROGRAMS,Public Health,3,2016,CITRUS,Irvine
MATHEMATICS AND STATISTICS,Mathematics,3,2016,CITRUS,Los Angeles
PHYSICAL SCIENCES,Chemistry,3,2016,CITRUS,Los Angeles
PSYCHOLOGY,"Psychology, General",5,2016,CITRUS,Los Angeles
PSYCHOLOGY,"Psychology, General",4,2016,CITRUS,Riverside
PSYCHOLOGY,Research and Experimental Psychology,3,2016,CITRUS,Irvine
SOCIAL SCIENCES,Economics,11,2016,CITRUS,Santa Barbara
SOCIAL SCIENCES,Economics,4,2016,CITRUS,San Diego
SOCIAL SCIENCES,Sociology,5,2016,CITRUS,Los Angeles
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,5,2017,CITRUS,Los Angeles
HISTORY,History,4,2017,CITRUS,Los Angeles
MATHEMATICS AND STATISTICS,Statistics,7,2017,CITRUS,Los Angeles
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,3,2017,CITRUS,San Diego
MULTI/INTERDISCIPLINARY STUDIES,"Multi/Interdisciplinary Studies, Other",7,2017,CITRUS,San Diego
PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,3,2017,CITRUS,Los Angeles
PSYCHOLOGY,"Psychology, General",6,2017,CITRUS,Los Angeles
PSYCHOLOGY,Research and Experimental Psychology,3,2017,CITRUS,Irvine
SOCIAL SCIENCES,Economics,8,2017,CITRUS,Santa Barbara
SOCIAL SCIENCES,Economics,3,2017,CITRUS,San Diego
SOCIAL SCIENCES,Political Science and Government,3,2017,CITRUS,Berkeley
SOCIAL SCIENCES,Sociology,3,2017,CITRUS,Los Angeles
SOCIAL SCIENCES,Sociology,3,2017,CITRUS,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",3,2018,CITRUS,Irvine
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,2018,CITRUS,Riverside
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,2018,CITRUS,Irvine
ENGINEERING,Mechanical Engineering,3,2018,CITRUS,Irvine
MATHEMATICS AND STATISTICS,Statistics,4,2018,CITRUS,Los Angeles
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,3,2018,CITRUS,Irvine
PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,3,2018,CITRUS,Los Angeles
PSYCHOLOGY,"Psychology, General",3,2018,CITRUS,Irvine
PSYCHOLOGY,"Psychology, General",3,2018,CITRUS,Los Angeles
PSYCHOLOGY,"Psychology, General",3,2018,CITRUS,Riverside
PSYCHOLOGY,Research and Experimental Psychology,6,2018,CITRUS,Irvine
SOCIAL SCIENCES,Sociology,3,2018,CITRUS,Los Angeles
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",3,2019,CITRUS,Berkeley
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",8,2019,CITRUS,Riverside
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,3,2019,CITRUS,San Diego
PSYCHOLOGY,"Psychology, General",4,2019,CITRUS,Irvine
PSYCHOLOGY,"Psychology, General",3,2019,CITRUS,Los Angeles
PSYCHOLOGY,Research and Experimental Psychology,4,2019,CITRUS,Irvine
PSYCHOLOGY,Research and Experimental Psychology,5,2019,CITRUS,Riverside
SOCIAL SCIENCES,Economics,4,2019,CITRUS,Riverside
SOCIAL SCIENCES,Economics,6,2019,CITRUS,Santa Barbara
SOCIAL SCIENCES,Sociology,8,2019,CITRUS,Los Angeles
SOCIAL SCIENCES,Sociology,3,2019,CITRUS,Riverside
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,5,2019,CITRUS,Santa Cruz
"AREA, ETHNIC, CULTURAL, GENDER, AND GROUP STUDIES","Ethnic, Cultural Minority, Gender, and Group Studies",3,2020,CITRUS,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",5,2020,CITRUS,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",4,2020,CITRUS,Riverside
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,2020,CITRUS,San Diego
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,2020,CITRUS,Irvine
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,2020,CITRUS,Los Angeles
MATHEMATICS AND STATISTICS,Mathematics,4,2020,CITRUS,Riverside
PSYCHOLOGY,"Psychology, General",4,2020,CITRUS,San Diego
PSYCHOLOGY,Research and Experimental Psychology,3,2020,CITRUS,Irvine
PSYCHOLOGY,Research and Experimental Psychology,5,2020,CITRUS,Riverside
SOCIAL SCIENCES,Economics,6,2020,CITRUS,Irvine
SOCIAL SCIENCES,Economics,3,2020,CITRUS,Santa Barbara
SOCIAL SCIENCES,Economics,3,2020,CITRUS,San Diego
SOCIAL SCIENCES,Sociology,4,2020,CITRUS,Irvine
SOCIAL SCIENCES,Sociology,5,2020,CITRUS,Los Angeles
SOCIAL SCIENCES,Sociology,4,2020,CITRUS,Riverside
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,4,2020,CITRUS,Irvine
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,3,2020,CITRUS,Santa Barbara
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2021,CITRUS,Irvine
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,2021,CITRUS,Los Angeles
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",7,2021,CITRUS,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",6,2021,CITRUS,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,2021,CITRUS,Los Angeles
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,2021,CITRUS,Santa Barbara
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,2021,CITRUS,San Diego
HISTORY,History,4,2021,CITRUS,Los Angeles
MATHEMATICS AND STATISTICS,Mathematics,4,2021,CITRUS,San Diego
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,6,2021,CITRUS,Riverside
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,6,2021,CITRUS,San Diego
PSYCHOLOGY,"Psychology, General",3,2021,CITRUS,San Diego
PSYCHOLOGY,Research and Experimental Psychology,3,2021,CITRUS,Irvine
PSYCHOLOGY,Research and Experimental Psychology,6,2021,CITRUS,Riverside
SOCIAL SCIENCES,Anthropology,3,2021,CITRUS,Los Angeles
SOCIAL SCIENCES,Criminology,3,2021,CITRUS,Irvine
SOCIAL SCIENCES,Economics,7,2021,CITRUS,Irvine
SOCIAL SCIENCES,Economics,4,2021,CITRUS,Riverside
SOCIAL SCIENCES,Economics,5,2021,CITRUS,Santa Barbara
SOCIAL SCIENCES,Economics,5,2021,CITRUS,San Diego
SOCIAL SCIENCES,Political Science and Government,4,2021,CITRUS,Santa Barbara
SOCIAL SCIENCES,Sociology,4,2021,CITRUS,Irvine
SOCIAL SCIENCES,Sociology,5,2021,CITRUS,Santa Barbara
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,5,2021,CITRUS,Irvine
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",6,2022,CITRUS,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,5,2022,CITRUS,Irvine
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,2022,CITRUS,Los Angeles
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,2022,CITRUS,Berkeley
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,2022,CITRUS,San Diego
HISTORY,History,3,2022,CITRUS,Los Angeles
MATHEMATICS AND STATISTICS,Mathematics,5,2022,CITRUS,San Diego
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,7,2022,CITRUS,Irvine
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,7,2022,CITRUS,San Diego
PSYCHOLOGY,"Psychology, General",3,2022,CITRUS,Irvine
PSYCHOLOGY,"Psychology, General",4,2022,CITRUS,Los Angeles
PSYCHOLOGY,"Psychology, General",3,2022,CITRUS,San Diego
PSYCHOLOGY,Research and Experimental Psychology,5,2022,CITRUS,Riverside
SOCIAL SCIENCES,Economics,4,2022,CITRUS,Berkeley
SOCIAL SCIENCES,Economics,5,2022,CITRUS,Riverside
SOCIAL SCIENCES,Economics,5,2022,CITRUS,Santa Barbara
SOCIAL SCIENCES,Economics,8,2022,CITRUS,San Diego
SOCIAL SCIENCES,Political Science and Government,4,2022,CITRUS,Los Angeles
VISUAL AND PERFORMING ARTS,Drama/Theatre Arts and Stagecraft,4,2022,CITRUS,Irvine
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,3,2022,CITRUS,Irvine
VISUAL AND PERFORMING ARTS,Fine and Studio Arts,3,2022,CITRUS,Berkeley
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,2023,CITRUS,Los Angeles
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",5,2023,CITRUS,Irvine
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,2023,CITRUS,San Diego
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,2023,CITRUS,Irvine
HISTORY,History,3,2023,CITRUS,Los Angeles
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,6,2023,CITRUS,San Diego
SOCIAL SCIENCES,Economics,4,2023,CITRUS,Berkeley
SOCIAL SCIENCES,Economics,3,2023,CITRUS,Irvine
SOCIAL SCIENCES,Economics,3,2023,CITRUS,Riverside
SOCIAL SCIENCES,Political Science and Government,5,2023,CITRUS,Los Angeles
SOCIAL SCIENCES,Sociology,4,2023,CITRUS,Los Angeles
SOCIAL SCIENCES,Sociology,4,2023,CITRUS,San Diego
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,3,2023,CITRUS,Irvine
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",5,2024,CITRUS,Los Angeles
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",5,2024,CITRUS,Riverside
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,2024,CITRUS,Irvine
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","East Asian Languages, Literatures, and Linguistics",3,2024,CITRUS,Berkeley
"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,2024,CITRUS,Los Angeles
HISTORY,History,4,2024,CITRUS,Los Angeles
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,7,2024,CITRUS,Irvine
MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,5,2024,CITRUS,San Diego
PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,3,2024,CITRUS,Berkeley
PSYCHOLOGY,Research and Experimental Psychology,5,2024,CITRUS,Irvine
SOCIAL SCIENCES,Economics,4,2024,CITRUS,Riverside
SOCIAL SCIENCES,Sociology,4,2024,CITRUS,Irvine
SOCIAL SCIENCES,Sociology,3,2024,CITRUS,Los Angeles
VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,3,2024,CITRUS,Irvine
ARCHITECTURE AND RELATED SERVICES,Architecture,5,2024,CITY OF SAN FRANCISCO,Berkeley
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,2024,CITY OF SAN FRANCISCO,San Diego
