field,major,enrolls,year,cc_name,uc_campus
BIOLOGICAL AND BIOMEDICAL SCIENCES,Genetics,3,2013,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,4,2013,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Zoology/Animal Biology,5,2013,AMERICAN RIVER,Davis
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,2013,AMERICAN RIVER,Davis
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,2013,AMERICAN RIVER,Los Angeles
"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,2013,AMERICAN RIVER,Davis
ENGINEERING,Biomedical/Medical Engineering,3,2013,AMERICAN RIVER,Davis
ENGINEERING,Chemical Engineering,3,2013,AMERICAN RIVER,Irvine
ENGINEERING,"Engineering, General",4,2013,AMERICAN RIVER,Davis
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,2013,AMERICAN RIVER,Davis
FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",5,2013,AMERICAN RIVER,Davis
PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,3,2013,AMERICAN RIVER,Berkeley
PHYSICAL SCIENCES,Chemistry,7,2013,AMERICAN RIVER,Davis
PSYCHOLOGY,Research and Experimental Psychology,14,2013,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Anthropology,3,2013,AMERICAN RIVER,Berkeley
SOCIAL SCIENCES,Economics,11,2013,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Economics,5,2013,AMERICAN RIVER,San Diego
SOCIAL SCIENCES,Political Science and Government,5,2013,AMERICAN RIVER,Berkeley
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",10,2014,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",8,2014,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,4,2014,AMERICAN RIVER,Davis
BIOLOGICAL AND BIOMEDICAL SCIENCES,Zoology/Animal Biology,3,2014,AMERICAN RIVER,Davis
"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,8,2014,AMERICAN RIVER,Davis
COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,2014,AMERICAN RIVER,Davis
ENGINEERING,Computer Engineering,3,2014,AMERICAN RIVER,Davis
ENGINEERING,"Engineering, General",4,2014,AMERICAN RIVER,Davis
ENGINEERING,Mechanical Engineering,3,2014,AMERICAN RIVER,Davis
ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,2014,AMERICAN RIVER,Davis
FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",7,2014,AMERICAN RIVER,Davis
HEALTH PROFESSIONS AND RELATED PROGRAMS,"Pharmacy, Pharmaceutical Sciences, and Administration",4,2014,AMERICAN RIVER,Davis
HISTORY,History,6,2014,AMERICAN RIVER,Davis
MATHEMATICS AND STATISTICS,Mathematics,5,2014,AMERICAN RIVER,Davis
MULTI/INTERDISCIPLINARY STUDIES,Nutrition Sciences,6,2014,AMERICAN RIVER,Davis
NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,4,2014,AMERICAN RIVER,Davis
PHYSICAL SCIENCES,Chemistry,3,2014,AMERICAN RIVER,Davis
PSYCHOLOGY,"Psychology, General",3,2014,AMERICAN RIVER,Santa Cruz
PSYCHOLOGY,Research and Experimental Psychology,17,2014,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Economics,7,2014,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Economics,4,2014,AMERICAN RIVER,San Diego
SOCIAL SCIENCES,Political Science and Government,4,2014,AMERICAN RIVER,Davis
SOCIAL SCIENCES,Sociology,3,2014,AMERICAN RIVER,Davis
VISUAL AND PERFORMING ARTS,Design and Applied Arts,4,2014,AMERICAN RIVER,Davis
