year,school.name,ope6_id,aid.ftft_pell_grant_rate,aid.ftft_federal_loan_rate,aid.pell_grant_rate,aid.federal_loan_rate,aid.loan_principal,aid.median_debt.pell_grant,aid.median_debt.no_pell_grant,aid.median_debt.first_generation_students,aid.median_debt.non_first_generation_students,student.demographics.race_ethnicity.white,student.demographics.race_ethnicity.black,student.demographics.race_ethnicity.hispanic,student.demographics.race_ethnicity.asian,student.demographics.race_ethnicity.aian,student.demographics.race_ethnicity.nhpi,student.demographics.race_ethnicity.two_or_more,student.demographics.race_ethnicity.non_resident_alien,student.demographics.race_ethnicity.unknown,student.demographics.men,student.demographics.women,student.demographics.student_faculty_ratio,student.demographics.faculty.race_ethnicity.two_or_more,student.demographics.faculty.race_ethnicity.aian,student.demographics.faculty.race_ethnicity.asian,student.demographics.faculty.race_ethnicity.black,student.demographics.faculty.race_ethnicity.hispanic,student.demographics.faculty.race_ethnicity.nhpi,student.demographics.faculty.race_ethnicity.non_resident_alien,student.demographics.faculty.race_ethnicity.unknown,student.demographics.faculty.race_ethnicity.white,student.demographics.faculty.men,student.demographics.faculty.women,student.enrollment.undergrad_12_month,cost.avg_net_price.public,cost.net_price.public.by_income_level.0-30000,cost.net_price.public.by_income_level.30001-48000,cost.net_price.public.by_income_level.48001-75000,cost.net_price.public.by_income_level.75001-110000,cost.net_price.public.by_income_level.110001-plus,cost.title_iv.public.by_income_level.0-30000,cost.title_iv.public.by_income_level.30001-48000,cost.title_iv.public.by_income_level.48001-75000,cost.title_iv.public.by_income_level.75001-110000,cost.title_iv.public.by_income_level.110001-plus,cost.attendance.academic_year,cost.tuition.in_state,cost.tuition.out_of_state,cost.booksupply,cost.roomboard.oncampus,cost.otherexpense.oncampus,cost.roomboard.offcampus,cost.otherexpense.offcampus,cost.otherexpense.withfamily,admissions.admission_rate.overall,aid.median_debt.income.0_30000,aid.median_debt.income.30001_75000,aid.median_debt.income.greater_than_75000
2013,University of California-Berkeley,001312,0.2682,0.2898,0.3237,0.3021,13000.0,13000.0,13205.5,12913.0,13209.0,0.2857,0.0221,0.132,0.3494,0.0012,0.0028,0.0453,0.1313,0.0304,0.4813,0.5187,17.0,0.0055,0.001,0.1217,0.0221,0.0446,0.0013,0.2168,0.0827,0.5042,0.3659,0.6341,28662.0,13769.0,8506.0,9752.0,13944.0,21066.0,28596.0,580.0,252.0,239.0,153.0,196.0,32715.0,12864.0,35742.0,1226.0,15482.0,3747.0,10391.0,4378.0,10001.0,0.18,11731.0,13500.0,14801.0
2013,University of California-Davis,001313,0.3674,0.443,0.4297,0.4467,12179.5,12666.0,11000.0,12833.0,11667.0,0.3125,0.0211,0.172,0.3551,0.002,0.0048,0.0511,0.0618,0.0196,0.4365,0.5635,17.0,0.0026,0.0034,0.1701,0.0169,0.0493,0.0006,0.1558,0.0332,0.5682,0.3903,0.6097,27829.0,15054.0,9573.0,10786.0,13956.0,21835.0,28976.0,1019.0,487.0,529.0,370.0,412.0,31803.0,13895.0,36773.0,1620.0,13961.0,3590.0,8336.0,4576.0,9751.0,0.4521,11000.0,12833.0,13000.0
2013,University of California-Irvine,001314,0.4821,0.4551,0.432,0.4418,14515.0,14150.0,15000.0,13000.0,15000.0,0.1739,0.0187,0.2171,0.4371,0.0016,0.0042,0.0396,0.0894,0.0184,0.4568,0.5432,19.0,0.0031,0.004,0.2056,0.0192,0.0455,0.0027,0.1418,0.0089,0.5691,0.3894,0.6106,23882.0,11944.0,8096.0,9500.0,12970.0,20923.0,26800.0,1437.0,624.0,477.0,268.0,280.0,28980.0,13149.0,36027.0,1583.0,12073.0,3699.0,9737.0,5079.0,9346.0,0.4239,12551.0,14563.5,15500.0
2013,University of California-Los Angeles,001315,0.3076,0.3409,0.3624,0.374,13200.0,13864.0,12023.0,13000.0,13341.5,0.2859,0.0261,0.1842,0.3099,0.0012,0.0036,0.0482,0.1176,0.0234,0.4472,0.5528,16.0,0.0021,0.0026,0.2063,0.0211,0.0455,0.0007,0.1528,0.0201,0.5487,0.3577,0.6423,30180.0,13723.0,8883.0,9579.0,13645.0,20789.0,27167.0,947.0,426.0,398.0,258.0,339.0,31474.0,12697.0,35575.0,1536.0,14453.0,3730.0,10446.0,4620.0,9517.0,0.2199,11900.0,14493.0,14500.0
2013,University of California-Riverside,001316,0.5574,0.5629,0.564,0.5688,15500.0,15668.5,15000.0,15000.0,16000.0,0.1442,0.0487,0.3589,0.3615,0.0016,0.0039,0.0354,0.0315,0.0145,0.489,0.511,19.0,0.002,0.006,0.1791,0.0302,0.0543,0.0,0.16,0.0101,0.5584,0.3541,0.6459,19930.0,11473.0,7651.0,8448.0,10949.0,18356.0,26614.0,1144.0,631.0,566.0,276.0,309.0,29787.0,12960.0,35838.0,1802.0,13509.0,3967.0,8985.0,4648.0,9031.0,0.62,15000.0,15773.0,17110.0
2013,University of California-San Diego,001317,0.2991,0.4035,0.4274,0.4731,16500.0,17883.0,13934.0,17400.0,16113.5,0.2357,0.0119,0.1581,0.4011,0.0013,0.0041,0.0476,0.1181,0.0222,0.5154,0.4846,19.0,0.0009,0.0021,0.1428,0.015,0.0469,0.0006,0.2543,0.0053,0.5323,0.3425,0.6575,24443.0,14421.0,8861.0,10054.0,13383.0,20777.0,26913.0,684.0,369.0,388.0,296.0,315.0,29751.0,13271.0,36149.0,1489.0,11978.0,3732.0,9868.0,4847.0,9437.0,0.375,17100.0,17497.5,15000.0
2013,University of California-San Francisco,001319,,,,,6567.0,,,10000.0,6000.0,,,,,,,,,,,,,0.0031,0.0027,0.2078,0.0186,0.0357,0.0012,0.2084,0.0217,0.5008,0.4595,0.5405,,,,,,,,,,,,,,,,,,,,,,,6967.0,,
2013,University of California-Santa Barbara,001320,0.4091,0.4625,0.3798,0.438,13000.0,12902.0,13000.0,13300.0,12833.0,0.3965,0.0213,0.2481,0.1763,0.001,0.0007,0.0843,0.0397,0.032,0.4771,0.5229,17.0,0.0023,0.0046,0.0868,0.016,0.0563,0.0,0.1918,0.0091,0.6332,0.3402,0.6598,20557.0,14142.0,9546.0,10895.0,13985.0,21943.0,29089.0,1105.0,482.0,440.0,259.0,314.0,31913.0,13746.0,36624.0,1444.0,14115.0,4746.0,10012.0,5196.0,10401.0,0.4444,12250.0,13000.0,13833.0
2013,University of California-Santa Cruz,001321,0.5114,0.6167,0.4459,0.5586,15000.0,15500.0,15000.0,15157.0,15000.0,0.368,0.0201,0.3019,0.2047,0.0017,0.0015,0.0698,0.0108,0.0215,0.4678,0.5322,18.0,0.0064,0.0129,0.1211,0.018,0.0747,0.0013,0.076,0.0232,0.6662,0.4021,0.5979,16973.0,15107.0,9989.0,11280.0,14868.0,22432.0,30957.0,1038.0,561.0,493.0,288.0,345.0,33208.0,13397.0,36275.0,1420.0,14408.0,3928.0,10351.0,4723.0,9844.0,0.5991,15250.0,15000.0,15000.0
2013,University of California-Merced,041271,0.6253,0.5462,0.5977,0.5767,13500.0,13804.0,13000.0,11750.0,14907.0,0.1526,0.0629,0.4391,0.2534,0.0024,0.0069,0.0413,0.0283,0.0132,0.4854,0.5146,20.0,0.0064,0.0127,0.1433,0.0191,0.1019,0.0,0.1146,0.0096,0.5924,0.4076,0.5924,5677.0,11921.0,8670.0,9512.0,12710.0,19368.0,27522.0,527.0,240.0,220.0,100.0,88.0,30637.0,13160.0,36038.0,1405.0,14717.0,4217.0,7185.0,4981.0,9688.0,0.7551,12000.0,13000.0,15865.0
2014,University of California-Berkeley,001312,0.241,0.2459,0.3143,0.2698,12833.0,12935.5,12571.0,12500.0,13000.0,0.2758,0.0209,0.1384,0.3509,0.0016,0.0027,0.0471,0.1373,0.0254,0.4788,0.5212,17.0,,,,,,,,,,,,28919.0,13707.0,8607.0,9429.0,13192.0,20722.0,29196.0,556.0,254.0,230.0,141.0,197.0,33020.0,12972.0,35850.0,1229.0,15830.0,4325.0,10026.0,4673.0,10484.0,0.1602,11735.0,13500.0,14094.0
2014,University of California-Davis,001313,0.3741,0.4067,0.4284,0.4191,12000.0,12500.0,11000.0,12382.0,11989.0,0.2967,0.0209,0.1834,0.342,0.0017,0.0049,0.0539,0.0816,0.015,0.4238,0.5762,18.0,,,,,,,,,,,,28499.0,15514.0,10492.0,11625.0,14696.0,21513.0,29226.0,913.0,505.0,502.0,328.0,364.0,32638.0,13896.0,36774.0,1560.0,14316.0,3987.0,8201.0,5140.0,10148.0,0.4037,11000.0,12556.5,13000.0
2014,University of California-Irvine,001314,0.4658,0.4582,0.4536,0.4349,14697.5,14600.0,14899.0,13949.0,15000.0,0.1607,0.0178,0.2399,0.4071,0.0005,0.0041,0.041,0.1174,0.0115,0.461,0.539,19.0,,,,,,,,,,,,25001.0,12771.0,8532.0,9925.0,13344.0,20779.0,27710.0,1369.0,702.0,572.0,355.0,310.0,29759.0,13179.0,36057.0,1732.0,12638.0,4028.0,9335.0,5010.0,9692.0,0.3742,13999.0,14666.0,15000.0
2014,University of California-Los Angeles,001315,0.3151,0.3506,0.3588,0.3626,13967.0,14800.0,12000.0,13694.0,14000.0,0.2784,0.0279,0.1964,0.2997,0.0014,0.0032,0.0476,0.1259,0.0194,0.4432,0.5568,16.0,,,,,,,,,,,,30815.0,13399.0,8027.0,9526.0,12606.0,20360.0,28322.0,908.0,420.0,411.0,248.0,342.0,32074.0,12705.0,35583.0,1598.0,14511.0,4164.0,10138.0,4851.0,10232.0,0.1856,12000.0,15000.0,15000.0
2014,University of California-Riverside,001316,0.5534,0.545,0.5752,0.5538,16302.0,16500.0,15000.0,15721.0,16650.0,0.1384,0.0453,0.3616,0.3595,0.0018,0.0037,0.0382,0.0412,0.0103,0.4831,0.5169,19.0,,,,,,,,,,,,20018.0,13144.0,9678.0,10518.0,13013.0,19570.0,27091.0,1231.0,620.0,571.0,308.0,286.0,30174.0,13407.0,36285.0,1672.0,13381.0,4179.0,8577.0,4985.0,9686.0,0.5829,15698.0,16354.0,17500.0
2014,University of California-San Diego,001317,0.3233,0.3956,0.4006,0.4124,16500.0,17943.0,14115.0,17700.0,15833.0,0.2247,0.0117,0.1623,0.3849,0.0013,0.0034,0.0475,0.1473,0.0169,0.5249,0.4751,19.0,,,,,,,,,,,,25436.0,14136.0,8362.0,9832.0,12831.0,20286.0,26932.0,842.0,452.0,447.0,380.0,395.0,30092.0,13427.0,36305.0,1509.0,12254.0,4064.0,9650.0,5149.0,9926.0,0.3329,17417.0,17500.0,14988.5
2014,University of California-San Francisco,001319,,,,,6000.0,,,6000.0,6000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6000.0,,
2014,University of California-Santa Barbara,001320,0.3568,0.4224,0.3806,0.423,13223.5,13712.0,12775.0,14000.0,13000.0,0.3654,0.0214,0.2534,0.1903,0.0011,0.001,0.0842,0.0563,0.0269,0.4746,0.5254,17.0,,,,,,,,,,,,20807.0,15755.0,10190.0,11353.0,14511.0,22816.0,30464.0,879.0,454.0,374.0,244.0,383.0,33826.0,13865.0,36743.0,1391.0,14523.0,4974.0,9368.0,5447.0,10863.0,0.3634,13315.0,13366.5,13000.0
2014,University of California-Santa Cruz,001321,0.4346,0.5432,0.4598,0.5458,15367.5,16778.0,14201.0,16177.0,15000.0,0.3465,0.0196,0.3155,0.2035,0.0015,0.0017,0.074,0.0216,0.016,0.4722,0.5278,18.0,,,,,,,,,,,,16497.0,16086.0,10862.0,12021.0,15297.0,23215.0,30853.0,790.0,357.0,344.0,226.0,287.0,33036.0,13397.0,36275.0,1438.0,14730.0,4661.0,9792.0,5430.0,10708.0,0.5572,16216.0,16524.0,15000.0
2014,University of California-Merced,041271,0.6358,0.5505,0.6152,0.5479,14500.0,14923.0,13500.0,14000.0,15000.0,0.1412,0.0574,0.456,0.2461,0.0024,0.0063,0.0435,0.0382,0.0088,0.4845,0.5155,20.0,,,,,,,,,,,,6146.0,12327.0,8720.0,9939.0,13532.0,20520.0,28159.0,567.0,284.0,276.0,118.0,90.0,31883.0,13160.0,36038.0,1419.0,15035.0,4386.0,6874.0,5263.0,10310.0,0.6718,13842.0,13750.0,16535.0
2015,University of California-Berkeley,001312,0.2622,0.2683,0.3114,0.2602,12500.0,12667.5,11900.0,12247.0,12550.0,0.2689,0.0212,0.1409,0.3527,0.0016,0.0026,0.0472,0.1371,0.0277,0.4795,0.5205,17.0,0.0093,0.0007,0.1175,0.0226,0.0463,0.0017,0.2243,0.0865,0.4912,0.3551,0.6449,29326.0,13197.0,7294.0,9353.0,12246.0,19285.0,28990.0,733.0,309.0,331.0,169.0,304.0,33989.0,13431.0,38139.0,1241.0,15847.0,4736.0,10126.0,5087.0,10971.0,0.1688,11122.0,12968.0,14000.0
2015,University of California-Davis,001313,0.3767,0.4095,0.4123,0.3933,12289.0,12833.0,11000.0,12500.0,12160.0,0.2832,0.0222,0.1872,0.3215,0.0018,0.0049,0.0524,0.1122,0.0147,0.4111,0.5889,18.0,0.0069,0.0028,0.1747,0.0157,0.0533,0.0008,0.1441,0.0273,0.5744,0.4165,0.5835,29568.0,15047.0,10045.0,11016.0,13965.0,21025.0,29270.0,1008.0,551.0,487.0,323.0,412.0,33265.0,13951.0,38659.0,1576.0,14571.0,4279.0,8283.0,5433.0,10506.0,0.3795,11055.0,12733.0,12882.0
