year,college,eops_headcount,eops_care_headcount
2013,Napa,154.0,21.0
2013,Norco,283.0,18.0
2013,Ohlone,189.0,23.0
2013,Orange Coast,1018.0,72.0
2013,Oxnard,729.0,111.0
2013,Palo Verde,361.0,24.0
2013,Palomar,799.0,43.0
2013,Pasadena,703.0,19.0
2013,Porterville,419.0,77.0
2013,Redwoods,691.0,57.0
2013,Reedley College,595.0,45.0
2013,Rio Hondo,769.0,84.0
2013,Riverside,378.0,53.0
2013,Sacramento City,887.0,79.0
2013,Saddleback,388.0,13.0
2013,San Bernardino,600.0,62.0
2013,San Diego City,984.0,51.0
2013,San Diego Mesa,514.0,34.0
2013,San Diego Miramar,435.0,20.0
2013,San Francisco,964.0,75.0
2013,San Joaquin Delta,872.0,153.0
2013,San Jose City,581.0,63.0
2013,San Mateo,362.0,12.0
2013,Santa Ana,931.0,40.0
2013,Santa Barbara,1200.0,57.0
2013,Santa Monica,824.0,46.0
2013,Santa Rosa,484.0,41.0
2013,Santiago Canyon,274.0,13.0
2013,Sequoias,940.0,96.0
2013,Shasta,659.0,43.0
2013,Sierra,532.0,73.0
2013,Siskiyous,301.0,19.0
2013,Skyline,372.0,39.0
2013,Solano,183.0,29.0
2013,Southwestern,1661.0,87.0
2013,Taft,220.0,16.0
2013,Ventura,578.0,28.0
2013,Victor Valley,1194.0,59.0
2013,West LA,492.0,46.0
2013,West Valley,282.0,19.0
2013,Woodland,155.0,25.0
2013,Yuba,592.0,82.0
2014,Alameda,564.0,32.0
2014,Allan Hancock,599.0,130.0
2014,American River,806.0,109.0
2014,Antelope Valley,602.0,90.0
2014,Bakersfield,825.0,118.0
2014,Barstow,244.0,73.0
2014,Berkeley City,259.0,21.0
2014,Butte,1137.0,94.0
2014,Cabrillo,201.0,60.0
2014,Canada,398.0,28.0
2014,Canyons,434.0,56.0
2014,Cerritos,822.0,60.0
2014,Cerro Coso,257.0,38.0
2014,Chabot Hayward,281.0,41.0
2014,Chaffey,980.0,65.0
2014,Citrus,632.0,26.0
2014,Coalinga College,172.0,13.0
2014,Coastline,143.0,17.0
2014,Columbia,176.0,9.0
2014,Compton,834.0,181.0
2014,Contra Costa,614.0,58.0
2014,Copper Mountain College,120.0,23.0
2014,Cosumnes River,632.0,71.0
2014,Crafton Hills,431.0,38.0
2014,Cuesta,210.0,41.0
2014,Cuyamaca,629.0,69.0
2014,Cypress,452.0,47.0
2014,Deanza,658.0,16.0
2014,Desert,283.0,54.0
2014,Diablo Valley,625.0,49.0
2014,East LA,1776.0,3.0
2014,El Camino,1195.0,131.0
2014,Evergreen Valley,604.0,42.0
2014,Feather River,104.0,6.0
2014,Folsom Lake,178.0,34.0
2014,Foothill,409.0,20.0
2014,Fresno City,1400.0,139.0
2014,Fullerton,874.0,93.0
2014,Gavilan,321.0,97.0
2014,Glendale,1843.0,25.0
2014,Golden West,895.0,28.0
2014,Grossmont,732.0,108.0
2014,Hartnell,536.0,90.0
2014,Imperial,982.0,161.0
2014,Irvine,474.0,27.0
2014,LA City,2187.0,75.0
2014,LA Harbor,507.0,74.0
2014,LA Mission,703.0,37.0
2014,LA Pierce,1005.0,33.0
2014,LA Swest,613.0,34.0
2014,LA Trade,2203.0,173.0
2014,LA Valley,1037.0,62.0
