,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years,Years to Transfer - 4 Years
,Cohort Year 2004-2005,Cohort Year 2004-2005,Cohort Year 2005-2006,Cohort Year 2005-2006,Cohort Year 2006-2007,Cohort Year 2006-2007,Cohort Year 2007-2008,Cohort Year 2007-2008,Cohort Year 2008-2009,Cohort Year 2008-2009,Cohort Year 2009-2010,Cohort Year 2009-2010,Cohort Year 2010-2011,Cohort Year 2010-2011,Cohort Year 2011-2012,Cohort Year 2011-2012,Cohort Year 2012-2013,Cohort Year 2012-2013,Cohort Year 2013-2014,Cohort Year 2013-2014,Cohort Year 2014-2015,Cohort Year 2014-2015
,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student,Transferred Student,Cohort Student
Imperial,83,337,166,650,161,700,197,761,199,841,130,797,142,884,143,717,137,819,206,900,195,962
Irvine,255,672,293,772,362,841,409,971,474,1187,465,1346,548,1439,545,1429,560,1413,607,1500,672,1580
LA City,175,986,183,993,149,867,149,902,101,843,71,770,87,759,98,830,103,848,128,927,110,876
LA Harbor,123,534,148,639,155,661,134,699,157,857,86,762,132,818,132,872,113,687,148,921,165,905
LA Mission,66,358,102,514,91,465,85,471,81,493,56,490,66,591,80,582,82,530,85,521,112,684
LA Pierce,410,1416,542,1785,598,1987,501,1941,508,2148,413,1871,425,2052,380,1892,376,1855,467,2169,510,2172
LA Swest,71,265,77,301,72,313,48,313,48,344,32,334,31,248,34,255,48,290,31,357,40,284
LA Trade,56,408,48,386,43,353,64,373,44,364,31,402,20,384,26,269,27,280,13,288,43,480
LA Valley,306,1115,335,1265,290,1255,257,1230,285,1288,196,1233,186,1169,206,1148,233,1191,244,1388,254,1330
Lake Tahoe,30,168,37,158,29,156,22,174,23,184,25,156,37,179,22,162,28,178,33,157,24,137
Laney,181,530,165,524,216,653,191,641,132,584,147,590,107,484,144,552,140,565,178,582,202,622
Las Positas,303,811,309,852,291,862,311,969,304,1022,284,1093,324,1097,309,1044,320,1062,384,1130,373,1119
Lassen,47,139,23,124,22,116,42,129,15,127,14,149,32,217,30,170,34,136,34,181,42,179
Lemoore College,,,,,88,312,76,389,91,444,52,335,56,355,85,379,93,430,109,522,119,525
Long Beach,230,1120,264,1269,269,1324,306,1564,315,1879,87,706,258,1798,257,1818,312,2045,309,2061,408,2421
Los Medanos,131,559,148,663,166,751,181,914,196,1122,187,1072,176,913,172,897,208,966,212,1007,257,1077
Marin,104,328,109,349,99,355,92,324,81,338,85,356,110,354,104,371,100,325,92,355,87,339
Mendocino,37,254,36,264,50,296,39,299,52,299,42,302,34,299,43,306,43,296,65,357,85,430
Merced,186,737,224,973,212,1011,185,1042,209,1272,192,1167,191,1199,231,1216,193,1188,264,1281,270,1278
Merritt,40,189,41,179,29,172,44,217,28,204,32,212,35,189,24,199,35,208,46,223,60,260
MiraCosta,292,1036,335,1124,327,1105,391,1236,353,1217,406,1482,441,1587,386,1374,433,1570,433,1585,471,1712
Mission,122,463,123,479,118,529,132,527,117,632,118,648,138,653,163,628,145,570,178,628,155,573
Modesto,419,1695,343,1736,318,1793,322,2057,331,2030,268,1906,285,1811,232,1532,199,1420,338,2013,357,2045
Monterey,104,376,127,380,102,418,117,447,122,561,129,546,122,588,161,594,148,714,117,503,153,645
Moorpark,705,1805,741,1921,753,2103,819,2375,824,2469,723,2251,756,2156,851,2233,782,2163,833,2397,870,2419
Moreno Valley,,,,,,,,,,,,,126,845,113,768,86,678,135,893,139,891
Mt San Antonio,595,2309,719,2419,756,3027,698,2868,771,3204,753,3395,677,3163,658,2971,611,2799,693,3341,722,3404
Mt. San Jacinto,293,1218,287,1188,323,1434,395,1607,359,1925,382,1929,265,1496,250,1506,229,1518,250,1622,330,1813
Napa,136,524,124,519,154,584,133,614,146,618,126,664,146,604,115,592,143,669,143,696,158,696
Norco,,,,,,,,,,,,,212,1096,170,830,178,927,214,1072,230,1099
Ohlone,306,961,309,921,298,1064,308,1109,329,1170,294,1146,342,1191,322,1018,319,1115,351,1168,377,1229
Orange Coast,767,2273,776,2240,777,2449,920,2697,1017,3042,970,3078,829,2828,822,2717,718,2335,744,2394,814,2524
Oxnard,85,606,121,615,95,687,94,730,123,745,86,657,85,526,86,535,86,545,110,643,113,760
Palo Verde,5,120,4,112,4,97,7,101,8,106,10,119,5,101,9,92,6,92,3,74,4,105
Palomar,663,2326,609,2317,629,2484,686,2604,653,2744,722,2755,643,2731,577,2570,577,2542,632,2600,650,2680
Pasadena,814,2465,848,2515,878,2834,854,2976,928,3196,746,3002,654,2908,588,2689,576,2453,718,2959,973,3390
Porterville,47,242,69,290,70,306,88,340,62,285,77,352,83,418,85,400,73,409,98,441,110,530
Redwoods,123,534,149,583,88,498,108,551,82,542,114,645,95,508,77,463,77,440,90,477,90,471
Reedley College,340,1211,367,1184,375,1323,421,1396,439,1601,517,1828,490,1759,523,1715,443,1654,469,1757,552,2040
Rio Hondo,202,1159,209,1245,212,1273,163,1256,185,1425,172,1419,179,1476,195,1580,213,1578,210,1457,228,1796
Riverside,656,2609,647,2677,656,2931,729,3400,809,3997,649,3287,328,1739,286,1419,296,1615,361,1836,392,2038
Sacramento City,404,1207,452,1389,402,1384,418,1531,401,1605,332,1679,381,1575,318,1488,307,1542,375,1650,362,1576
Saddleback,637,1788,705,1955,652,1992,716,2156,825,2355,779,2363,777,2323,827,2431,735,2318,773,2261,753,2194
San Bernardino,185,748,187,776,163,771,174,834,177,1047,133,989,151,1033,164,1032,158,1050,190,1104,171,1143
San Diego City,187,810,175,705,190,806,230,908,183,933,167,943,198,1126,134,1021,138,1101,165,1115,192,1278
San Diego Mesa,677,1689,468,1309,550,1452,599,1504,534,1508,403,1487,508,1765,515,1818,538,1892,507,1892,581,2004
San Diego Miramar,186,632,158,590,195,654,226,696,185,752,180,711,248,774,224,852,202,847,199,811,274,992
