cc_name,uc_name,cc_lat,cc_lon,uc_lat,uc_lon,distance_meters,duration_seconds,status
Berkeley City College,University of California-San Diego,37.869769,-122.269877,32.877749,-117.235866,822451,29066,OK
Berkeley City College,University of California-San Francisco,37.869769,-122.269877,37.763737,-122.458489,25996,2069,OK
Berkeley City College,University of California-Santa Barbara,37.869769,-122.269877,34.416297,-119.846426,526633,19075,OK
Berkeley City College,University of California-Santa Cruz,37.869769,-122.269877,36.995584,-122.058801,126332,5496,OK
Butte College,University of California-Berkeley,39.649782,-121.644831,37.871918,-122.260463,249430,9587,OK
Butte College,University of California-Davis,39.649782,-121.644831,38.539667,-121.749567,146029,5522,OK
Butte College,University of California-Irvine,39.649782,-121.644831,33.648434,-117.841248,816555,28710,OK
Butte College,University of California-Los Angeles,39.649782,-121.644831,34.066927,-118.168965,750664,26526,OK
Butte College,University of California-Merced,39.649782,-121.644831,37.366237,-120.424944,319127,11872,OK
Butte College,University of California-Riverside,39.649782,-121.644831,33.97246,-117.32741,832161,29457,OK
Butte College,University of California-San Diego,39.649782,-121.644831,32.877749,-117.235866,928751,32313,OK
Butte College,University of California-San Francisco,39.649782,-121.644831,37.763737,-122.458489,266495,9963,OK
Butte College,University of California-Santa Barbara,39.649782,-121.644831,34.416297,-119.846426,761026,26625,OK
Butte College,University of California-Santa Cruz,39.649782,-121.644831,36.995584,-122.058801,362081,13265,OK
Cabrillo College,University of California-Berkeley,36.989448,-121.924797,37.871918,-122.260463,132083,5576,OK
Cabrillo College,University of California-Davis,36.989448,-121.924797,38.539667,-121.749567,219421,8160,OK
Cabrillo College,University of California-Irvine,36.989448,-121.924797,33.648434,-117.841248,612307,21943,OK
Cabrillo College,University of California-Los Angeles,36.989448,-121.924797,34.066927,-118.168965,567788,20201,OK
Cabrillo College,University of California-Merced,36.989448,-121.924797,37.366237,-120.424944,200912,8372,OK
Cabrillo College,University of California-Riverside,36.989448,-121.924797,33.97246,-117.32741,627914,22724,OK
Cabrillo College,University of California-San Diego,36.989448,-121.924797,32.877749,-117.235866,760010,27134,OK
Cabrillo College,University of California-San Francisco,36.989448,-121.924797,37.763737,-122.458489,126011,5213,OK
Cabrillo College,University of California-Santa Barbara,36.989448,-121.924797,34.416297,-119.846426,413166,14704,OK
Cabrillo College,University of California-Santa Cruz,36.989448,-121.924797,36.995584,-122.058801,17229,1247,OK
Canada College,University of California-Berkeley,37.44877,-122.265398,37.871918,-122.260463,69393,3467,OK
Canada College,University of California-Davis,37.44877,-122.265398,38.539667,-121.749567,162915,6241,OK
Canada College,University of California-Irvine,37.44877,-122.265398,33.648434,-117.841248,655591,23029,OK
Canada College,University of California-Los Angeles,37.44877,-122.265398,34.066927,-118.168965,589700,20796,OK
Canada College,University of California-Merced,37.44877,-122.265398,37.366237,-120.424944,228174,8832,OK
Canada College,University of California-Riverside,37.44877,-122.265398,33.97246,-117.32741,671197,23812,OK
Canada College,University of California-San Diego,37.44877,-122.265398,32.877749,-117.235866,803294,28125,OK
Canada College,University of California-San Francisco,37.44877,-122.265398,37.763737,-122.458489,46299,2298,OK
Canada College,University of California-Santa Barbara,37.44877,-122.265398,34.416297,-119.846426,492594,17347,OK
Canada College,University of California-Santa Cruz,37.44877,-122.265398,36.995584,-122.058801,80552,3537,OK
