Year,UC,Field,Major,Enrolls,CC
2012-13,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,ALLAN HANCOCK COLLEGE
2012-13,UCSB,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,ALLAN HANCOCK COLLEGE
2012-13,UCSB,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,ALLAN HANCOCK COLLEGE
2012-13,UCSC,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,ALLAN HANCOCK COLLEGE
2012-13,UCSB,PSYCHOLOGY,"Psychology, General",6,ALLAN HANCOCK COLLEGE
2012-13,UCSC,PSYCHOLOGY,"Psychology, General",3,ALLAN HANCOCK COLLEGE
2012-13,UCSB,SOCIAL SCIENCES,Economics,3,ALLAN HANCOCK COLLEGE
2012-13,UCSB,SOCIAL SCIENCES,Sociology,4,ALLAN HANCOCK COLLEGE
2013-14,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,ALLAN HANCOCK COLLEGE
2013-14,UCSD,ENGINEERING,Biomedical/Medical Engineering,3,ALLAN HANCOCK COLLEGE
2013-14,UCSB,PSYCHOLOGY,"Psychology, General",4,ALLAN HANCOCK COLLEGE
2013-14,UCSB,SOCIAL SCIENCES,Sociology,4,ALLAN HANCOCK COLLEGE
2013-14,UCSB,VISUAL AND PERFORMING ARTS,Film/Video and Photographic Arts,4,ALLAN HANCOCK COLLEGE
2014-15,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,ALLAN HANCOCK COLLEGE
2014-15,UCSB,MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,3,ALLAN HANCOCK COLLEGE
2014-15,UCSB,PSYCHOLOGY,"Psychology, General",4,ALLAN HANCOCK COLLEGE
2014-15,UCSD,SOCIAL SCIENCES,Economics,3,ALLAN HANCOCK COLLEGE
2015-16,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,ALLAN HANCOCK COLLEGE
2015-16,UCSB,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,4,ALLAN HANCOCK COLLEGE
2015-16,UCB,PSYCHOLOGY,"Psychology, General",3,ALLAN HANCOCK COLLEGE
2015-16,UCSB,PSYCHOLOGY,Research and Experimental Psychology,7,ALLAN HANCOCK COLLEGE
2015-16,UCSB,SOCIAL SCIENCES,Political Science and Government,3,ALLAN HANCOCK COLLEGE
2015-16,UCSB,SOCIAL SCIENCES,Sociology,3,ALLAN HANCOCK COLLEGE
2016-17,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,ALLAN HANCOCK COLLEGE
2016-17,UCSB,PSYCHOLOGY,Research and Experimental Psychology,8,ALLAN HANCOCK COLLEGE
2016-17,UCSB,SOCIAL SCIENCES,Sociology,5,ALLAN HANCOCK COLLEGE
2017-18,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",4,ALLAN HANCOCK COLLEGE
2017-18,UCSB,PSYCHOLOGY,Research and Experimental Psychology,3,ALLAN HANCOCK COLLEGE
2017-18,UCD,SOCIAL SCIENCES,Political Science and Government,3,ALLAN HANCOCK COLLEGE
2017-18,UCSB,SOCIAL SCIENCES,Sociology,3,ALLAN HANCOCK COLLEGE
2018-19,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",7,ALLAN HANCOCK COLLEGE
2018-19,UCSB,SOCIAL SCIENCES,Economics,4,ALLAN HANCOCK COLLEGE
2018-19,UCSB,SOCIAL SCIENCES,Sociology,8,ALLAN HANCOCK COLLEGE
2019-20,UCSB,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,ALLAN HANCOCK COLLEGE
2019-20,UCSC,MULTI/INTERDISCIPLINARY STUDIES,"Multi/Interdisciplinary Studies, Other",3,ALLAN HANCOCK COLLEGE
2019-20,UCSB,SOCIAL SCIENCES,Economics,4,ALLAN HANCOCK COLLEGE
2019-20,UCSB,SOCIAL SCIENCES,Sociology,7,ALLAN HANCOCK COLLEGE
2020-21,UCSB,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",3,ALLAN HANCOCK COLLEGE
2020-21,UCSB,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Romance Languages, Literatures, and Linguistics",3,ALLAN HANCOCK COLLEGE
2020-21,UCLA,PSYCHOLOGY,"Psychology, General",3,ALLAN HANCOCK COLLEGE
2020-21,UCSB,PSYCHOLOGY,Research and Experimental Psychology,6,ALLAN HANCOCK COLLEGE
2020-21,UCSB,SOCIAL SCIENCES,Political Science and Government,4,ALLAN HANCOCK COLLEGE
2020-21,UCSB,SOCIAL SCIENCES,Sociology,4,ALLAN HANCOCK COLLEGE
2021-22,UCSC,PSYCHOLOGY,"Psychology, General",3,ALLAN HANCOCK COLLEGE
2021-22,UCSB,SOCIAL SCIENCES,Economics,5,ALLAN HANCOCK COLLEGE
2021-22,UCSB,SOCIAL SCIENCES,Sociology,7,ALLAN HANCOCK COLLEGE
2022-23,UCR,SOCIAL SCIENCES,Sociology,3,ALLAN HANCOCK COLLEGE
2023-24,UCB,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,ALLAN HANCOCK COLLEGE
2023-24,UCLA,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,ALLAN HANCOCK COLLEGE
2023-24,UCSB,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,ALLAN HANCOCK COLLEGE
2023-24,UCSB,HISTORY,History,3,ALLAN HANCOCK COLLEGE
2023-24,UCSB,SOCIAL SCIENCES,Sociology,3,ALLAN HANCOCK COLLEGE
2012-13,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",12,AMERICAN RIVER COLLEGE
2012-13,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",15,AMERICAN RIVER COLLEGE
2012-13,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Genetics,3,AMERICAN RIVER COLLEGE
2012-13,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,4,AMERICAN RIVER COLLEGE
2012-13,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Zoology/Animal Biology,5,AMERICAN RIVER COLLEGE
2012-13,UCD,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,AMERICAN RIVER COLLEGE
2012-13,UCLA,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,AMERICAN RIVER COLLEGE
2012-13,UCD,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,AMERICAN RIVER COLLEGE
2012-13,UCD,ENGINEERING,Biomedical/Medical Engineering,3,AMERICAN RIVER COLLEGE
2012-13,UCI,ENGINEERING,Chemical Engineering,3,AMERICAN RIVER COLLEGE
2012-13,UCD,ENGINEERING,"Engineering, General",4,AMERICAN RIVER COLLEGE
2012-13,UCD,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,AMERICAN RIVER COLLEGE
2012-13,UCD,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",5,AMERICAN RIVER COLLEGE
2012-13,UCB,PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,3,AMERICAN RIVER COLLEGE
2012-13,UCD,PHYSICAL SCIENCES,Chemistry,7,AMERICAN RIVER COLLEGE
2012-13,UCD,PSYCHOLOGY,Research and Experimental Psychology,14,AMERICAN RIVER COLLEGE
2012-13,UCB,SOCIAL SCIENCES,Anthropology,3,AMERICAN RIVER COLLEGE
2012-13,UCD,SOCIAL SCIENCES,Economics,11,AMERICAN RIVER COLLEGE
2012-13,UCSD,SOCIAL SCIENCES,Economics,5,AMERICAN RIVER COLLEGE
2012-13,UCB,SOCIAL SCIENCES,Political Science and Government,5,AMERICAN RIVER COLLEGE
2013-14,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",10,AMERICAN RIVER COLLEGE
2013-14,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",8,AMERICAN RIVER COLLEGE
2013-14,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,4,AMERICAN RIVER COLLEGE
2013-14,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Zoology/Animal Biology,3,AMERICAN RIVER COLLEGE
2013-14,UCD,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,8,AMERICAN RIVER COLLEGE
2013-14,UCD,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,3,AMERICAN RIVER COLLEGE
2013-14,UCD,ENGINEERING,Computer Engineering,3,AMERICAN RIVER COLLEGE
2013-14,UCD,ENGINEERING,"Engineering, General",4,AMERICAN RIVER COLLEGE
2013-14,UCD,ENGINEERING,Mechanical Engineering,3,AMERICAN RIVER COLLEGE
2013-14,UCD,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,AMERICAN RIVER COLLEGE
2013-14,UCD,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",7,AMERICAN RIVER COLLEGE
2013-14,UCD,HEALTH PROFESSIONS AND RELATED PROGRAMS,"Pharmacy, Pharmaceutical Sciences, and Administration",4,AMERICAN RIVER COLLEGE
2013-14,UCD,HISTORY,History,6,AMERICAN RIVER COLLEGE
2013-14,UCD,MATHEMATICS AND STATISTICS,Mathematics,5,AMERICAN RIVER COLLEGE
2013-14,UCD,MULTI/INTERDISCIPLINARY STUDIES,Nutrition Sciences,6,AMERICAN RIVER COLLEGE
2013-14,UCD,NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,4,AMERICAN RIVER COLLEGE
2013-14,UCD,PHYSICAL SCIENCES,Chemistry,3,AMERICAN RIVER COLLEGE
2013-14,UCSC,PSYCHOLOGY,"Psychology, General",3,AMERICAN RIVER COLLEGE
2013-14,UCD,PSYCHOLOGY,Research and Experimental Psychology,17,AMERICAN RIVER COLLEGE
2013-14,UCD,SOCIAL SCIENCES,Economics,7,AMERICAN RIVER COLLEGE
2013-14,UCSD,SOCIAL SCIENCES,Economics,4,AMERICAN RIVER COLLEGE
2013-14,UCD,SOCIAL SCIENCES,Political Science and Government,4,AMERICAN RIVER COLLEGE
2013-14,UCD,SOCIAL SCIENCES,Sociology,3,AMERICAN RIVER COLLEGE
2013-14,UCD,VISUAL AND PERFORMING ARTS,Design and Applied Arts,4,AMERICAN RIVER COLLEGE
2013-14,UCD,VISUAL AND PERFORMING ARTS,Drama/Theatre Arts and Stagecraft,3,AMERICAN RIVER COLLEGE
2013-14,UCD,VISUAL AND PERFORMING ARTS,Fine and Studio Arts,3,AMERICAN RIVER COLLEGE
2014-15,UCD,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,Food Science and Technology,3,AMERICAN RIVER COLLEGE
2014-15,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",10,AMERICAN RIVER COLLEGE
2014-15,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",9,AMERICAN RIVER COLLEGE
2014-15,UCB,BIOLOGICAL AND BIOMEDICAL SCIENCES,Cell/Cellular Biology and Anatomical Sciences,3,AMERICAN RIVER COLLEGE
2014-15,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Microbiological Sciences and Immunology,3,AMERICAN RIVER COLLEGE
2014-15,UCD,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,AMERICAN RIVER COLLEGE
2014-15,UCLA,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,3,AMERICAN RIVER COLLEGE
2014-15,UCD,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,5,AMERICAN RIVER COLLEGE
2014-15,UCD,ENGINEERING,Civil Engineering,3,AMERICAN RIVER COLLEGE
2014-15,UCB,ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,AMERICAN RIVER COLLEGE
2014-15,UCI,ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,AMERICAN RIVER COLLEGE
2014-15,UCSD,ENGINEERING,"Electrical, Electronics, and Communications Engineering",3,AMERICAN RIVER COLLEGE
2014-15,UCD,ENGINEERING,Mechanical Engineering,3,AMERICAN RIVER COLLEGE
2014-15,UCD,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,AMERICAN RIVER COLLEGE
2014-15,UCD,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",7,AMERICAN RIVER COLLEGE
2014-15,UCD,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,AMERICAN RIVER COLLEGE
2014-15,UCD,HISTORY,History,6,AMERICAN RIVER COLLEGE
2014-15,UCD,MATHEMATICS AND STATISTICS,Mathematics,5,AMERICAN RIVER COLLEGE
2014-15,UCD,MULTI/INTERDISCIPLINARY STUDIES,Nutrition Sciences,11,AMERICAN RIVER COLLEGE
2014-15,UCD,NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,3,AMERICAN RIVER COLLEGE
2014-15,UCD,PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,3,AMERICAN RIVER COLLEGE
2014-15,UCD,PHYSICAL SCIENCES,Chemistry,4,AMERICAN RIVER COLLEGE
2014-15,UCD,PHYSICAL SCIENCES,Physics,5,AMERICAN RIVER COLLEGE
2014-15,UCB,PSYCHOLOGY,"Psychology, General",3,AMERICAN RIVER COLLEGE
2014-15,UCD,PSYCHOLOGY,Research and Experimental Psychology,8,AMERICAN RIVER COLLEGE
2014-15,UCB,SOCIAL SCIENCES,Anthropology,3,AMERICAN RIVER COLLEGE
2014-15,UCB,SOCIAL SCIENCES,Economics,3,AMERICAN RIVER COLLEGE
2014-15,UCD,SOCIAL SCIENCES,Economics,5,AMERICAN RIVER COLLEGE
2014-15,UCSB,SOCIAL SCIENCES,Economics,4,AMERICAN RIVER COLLEGE
2014-15,UCD,SOCIAL SCIENCES,Political Science and Government,5,AMERICAN RIVER COLLEGE
2014-15,UCD,SOCIAL SCIENCES,Sociology,3,AMERICAN RIVER COLLEGE
2014-15,UCD,VISUAL AND PERFORMING ARTS,Design and Applied Arts,3,AMERICAN RIVER COLLEGE
2015-16,UCD,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,Animal Sciences,3,AMERICAN RIVER COLLEGE
2015-16,UCD,ARCHITECTURE AND RELATED SERVICES,"City/Urban, Community, and Regional Planning",3,AMERICAN RIVER COLLEGE
2015-16,UCD,ARCHITECTURE AND RELATED SERVICES,Landscape Architecture,3,AMERICAN RIVER COLLEGE
2015-16,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",5,AMERICAN RIVER COLLEGE
2015-16,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",8,AMERICAN RIVER COLLEGE
2015-16,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Genetics,3,AMERICAN RIVER COLLEGE
2015-16,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,6,AMERICAN RIVER COLLEGE
2015-16,UCD,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,4,AMERICAN RIVER COLLEGE
2015-16,UCD,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,5,AMERICAN RIVER COLLEGE
2015-16,UCD,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,9,AMERICAN RIVER COLLEGE
2015-16,UCD,ENGINEERING,Computer Engineering,3,AMERICAN RIVER COLLEGE
2015-16,UCD,ENGINEERING,Mechanical Engineering,3,AMERICAN RIVER COLLEGE
2015-16,UCLA,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",3,AMERICAN RIVER COLLEGE
2015-16,UCD,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",7,AMERICAN RIVER COLLEGE
2015-16,UCLA,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,AMERICAN RIVER COLLEGE
2015-16,UCD,HEALTH PROFESSIONS AND RELATED PROGRAMS,"Pharmacy, Pharmaceutical Sciences, and Administration",8,AMERICAN RIVER COLLEGE
2015-16,UCD,MATHEMATICS AND STATISTICS,Mathematics,4,AMERICAN RIVER COLLEGE
2015-16,UCD,MULTI/INTERDISCIPLINARY STUDIES,Nutrition Sciences,7,AMERICAN RIVER COLLEGE
2015-16,UCD,PHYSICAL SCIENCES,Chemistry,3,AMERICAN RIVER COLLEGE
2015-16,UCD,PSYCHOLOGY,Research and Experimental Psychology,17,AMERICAN RIVER COLLEGE
2015-16,UCD,SOCIAL SCIENCES,Economics,12,AMERICAN RIVER COLLEGE
2015-16,UCSB,SOCIAL SCIENCES,Economics,5,AMERICAN RIVER COLLEGE
2015-16,UCD,SOCIAL SCIENCES,International Relations and National Security Studies,3,AMERICAN RIVER COLLEGE
2015-16,UCD,SOCIAL SCIENCES,Political Science and Government,5,AMERICAN RIVER COLLEGE
2015-16,UCD,SOCIAL SCIENCES,Sociology,4,AMERICAN RIVER COLLEGE
2015-16,UCD,VISUAL AND PERFORMING ARTS,Fine and Studio Arts,4,AMERICAN RIVER COLLEGE
2015-16,UCB,VISUAL AND PERFORMING ARTS,Music,3,AMERICAN RIVER COLLEGE
2016-17,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",6,AMERICAN RIVER COLLEGE
2016-17,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",7,AMERICAN RIVER COLLEGE
2016-17,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Biotechnology,5,AMERICAN RIVER COLLEGE
2016-17,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,5,AMERICAN RIVER COLLEGE
2016-17,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Physiology, Pathology and Related Sciences",7,AMERICAN RIVER COLLEGE
2016-17,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Zoology/Animal Biology,3,AMERICAN RIVER COLLEGE
2016-17,UCD,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,8,AMERICAN RIVER COLLEGE
2016-17,UCD,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,12,AMERICAN RIVER COLLEGE
2016-17,UCD,ENGINEERING,"Aerospace, Aeronautical, and Astronautical/Space Engineering",3,AMERICAN RIVER COLLEGE
2016-17,UCD,ENGINEERING,Chemical Engineering,4,AMERICAN RIVER COLLEGE
2016-17,UCD,ENGINEERING,Computer Engineering,3,AMERICAN RIVER COLLEGE
2016-17,UCD,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",5,AMERICAN RIVER COLLEGE
2016-17,UCD,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",10,AMERICAN RIVER COLLEGE
2016-17,UCD,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",4,AMERICAN RIVER COLLEGE
2016-17,UCD,HEALTH PROFESSIONS AND RELATED PROGRAMS,"Pharmacy, Pharmaceutical Sciences, and Administration",9,AMERICAN RIVER COLLEGE
2016-17,UCD,MATHEMATICS AND STATISTICS,Mathematics,3,AMERICAN RIVER COLLEGE
2016-17,UCSD,MULTI/INTERDISCIPLINARY STUDIES,"Multi/Interdisciplinary Studies, Other",3,AMERICAN RIVER COLLEGE
2016-17,UCD,MULTI/INTERDISCIPLINARY STUDIES,Nutrition Sciences,7,AMERICAN RIVER COLLEGE
2016-17,UCD,NATURAL RESOURCES AND CONSERVATION,Natural Resources Conservation and Research,5,AMERICAN RIVER COLLEGE
2016-17,UCB,PHILOSOPHY AND RELIGIOUS STUDIES,Philosophy,3,AMERICAN RIVER COLLEGE
2016-17,UCD,PHYSICAL SCIENCES,Chemistry,4,AMERICAN RIVER COLLEGE
2016-17,UCD,PHYSICAL SCIENCES,Physics,3,AMERICAN RIVER COLLEGE
2016-17,UCD,PSYCHOLOGY,Research and Experimental Psychology,9,AMERICAN RIVER COLLEGE
2016-17,UCD,SOCIAL SCIENCES,Anthropology,4,AMERICAN RIVER COLLEGE
2016-17,UCD,SOCIAL SCIENCES,Economics,6,AMERICAN RIVER COLLEGE
2016-17,UCD,SOCIAL SCIENCES,International Relations and National Security Studies,3,AMERICAN RIVER COLLEGE
2016-17,UCB,SOCIAL SCIENCES,Political Science and Government,3,AMERICAN RIVER COLLEGE
2016-17,UCD,SOCIAL SCIENCES,Political Science and Government,6,AMERICAN RIVER COLLEGE
2016-17,UCD,SOCIAL SCIENCES,Sociology,6,AMERICAN RIVER COLLEGE
2017-18,UCD,AGRICULTURAL/ANIMAL/PLANT/VETERINARY SCIENCE AND RELATED FIELDS,Animal Sciences,5,AMERICAN RIVER COLLEGE
2017-18,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",11,AMERICAN RIVER COLLEGE
2017-18,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",12,AMERICAN RIVER COLLEGE
2017-18,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,12,AMERICAN RIVER COLLEGE
2017-18,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Physiology, Pathology and Related Sciences",7,AMERICAN RIVER COLLEGE
2017-18,UCB,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES","Business Administration, Management and Operations",3,AMERICAN RIVER COLLEGE
2017-18,UCD,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,9,AMERICAN RIVER COLLEGE
2017-18,UCD,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,3,AMERICAN RIVER COLLEGE
2017-18,UCD,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,5,AMERICAN RIVER COLLEGE
2017-18,UCD,ENGINEERING,Civil Engineering,4,AMERICAN RIVER COLLEGE
2017-18,UCD,ENGINEERING,Computer Engineering,3,AMERICAN RIVER COLLEGE
2017-18,UCD,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",4,AMERICAN RIVER COLLEGE
2017-18,UCD,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",6,AMERICAN RIVER COLLEGE
2017-18,UCD,HEALTH PROFESSIONS AND RELATED PROGRAMS,"Pharmacy, Pharmaceutical Sciences, and Administration",4,AMERICAN RIVER COLLEGE
2017-18,UCD,MATHEMATICS AND STATISTICS,Mathematics,5,AMERICAN RIVER COLLEGE
2017-18,UCD,MULTI/INTERDISCIPLINARY STUDIES,Nutrition Sciences,5,AMERICAN RIVER COLLEGE
2017-18,UCI,PSYCHOLOGY,"Psychology, General",3,AMERICAN RIVER COLLEGE
2017-18,UCD,PSYCHOLOGY,Research and Experimental Psychology,8,AMERICAN RIVER COLLEGE
2017-18,UCD,SOCIAL SCIENCES,Anthropology,7,AMERICAN RIVER COLLEGE
2017-18,UCD,SOCIAL SCIENCES,Economics,7,AMERICAN RIVER COLLEGE
2017-18,UCD,SOCIAL SCIENCES,Political Science and Government,8,AMERICAN RIVER COLLEGE
2017-18,UCD,SOCIAL SCIENCES,Sociology,3,AMERICAN RIVER COLLEGE
2018-19,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",3,AMERICAN RIVER COLLEGE
2018-19,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",7,AMERICAN RIVER COLLEGE
2018-19,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Neurobiology and Neurosciences,4,AMERICAN RIVER COLLEGE
2018-19,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Physiology, Pathology and Related Sciences",4,AMERICAN RIVER COLLEGE
2018-19,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,Zoology/Animal Biology,5,AMERICAN RIVER COLLEGE
2018-19,UCD,"BUSINESS, MANAGEMENT, MARKETING, AND RELATED SUPPORT SERVICES",Business/Managerial Economics,5,AMERICAN RIVER COLLEGE
2018-19,UCD,"COMMUNICATION, JOURNALISM, AND RELATED PROGRAMS",Communication and Media Studies,5,AMERICAN RIVER COLLEGE
2018-19,UCD,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,5,AMERICAN RIVER COLLEGE
2018-19,UCSC,COMPUTER AND INFORMATION SCIENCES AND SUPPORT SERVICES,Computer Science,4,AMERICAN RIVER COLLEGE
2018-19,UCD,ENGINEERING,Computer Engineering,3,AMERICAN RIVER COLLEGE
2018-19,UCD,ENGINEERING,"Engineering, General",3,AMERICAN RIVER COLLEGE
2018-19,UCD,ENGLISH LANGUAGE AND LITERATURE/LETTERS,"English Language and Literature, General",6,AMERICAN RIVER COLLEGE
2018-19,UCD,FAMILY AND CONSUMER SCIENCES/HUMAN SCIENCES,"Human Development, Family Studies, and Related Services",5,AMERICAN RIVER COLLEGE
2018-19,UCD,"FOREIGN LANGUAGES, LITERATURES, AND LINGUISTICS","Linguistic, Comparative, and Related Language Studies and Services",3,AMERICAN RIVER COLLEGE
2018-19,UCD,HEALTH PROFESSIONS AND RELATED PROGRAMS,"Pharmacy, Pharmaceutical Sciences, and Administration",4,AMERICAN RIVER COLLEGE
2018-19,UCD,HISTORY,History,4,AMERICAN RIVER COLLEGE
2018-19,UCSD,MULTI/INTERDISCIPLINARY STUDIES,International/Globalization Studies,3,AMERICAN RIVER COLLEGE
2018-19,UCD,PSYCHOLOGY,Research and Experimental Psychology,12,AMERICAN RIVER COLLEGE
2018-19,UCB,SOCIAL SCIENCES,Anthropology,3,AMERICAN RIVER COLLEGE
2018-19,UCLA,SOCIAL SCIENCES,Anthropology,3,AMERICAN RIVER COLLEGE
2018-19,UCD,SOCIAL SCIENCES,Economics,3,AMERICAN RIVER COLLEGE
2018-19,UCD,SOCIAL SCIENCES,International Relations and National Security Studies,4,AMERICAN RIVER COLLEGE
2018-19,UCD,SOCIAL SCIENCES,Political Science and Government,4,AMERICAN RIVER COLLEGE
2018-19,UCSC,SOCIAL SCIENCES,Political Science and Government,3,AMERICAN RIVER COLLEGE
2018-19,UCD,SOCIAL SCIENCES,Sociology,5,AMERICAN RIVER COLLEGE
2019-20,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biochemistry, Biophysics and Molecular Biology",11,AMERICAN RIVER COLLEGE
2019-20,UCD,BIOLOGICAL AND BIOMEDICAL SCIENCES,"Biology, General",8,AMERICAN RIVER COLLEGE
