cc_name,uc_campus,year,share_eth_african_american,share_eth_american_indian,share_eth_asian,share_eth_domestic_unknown,share_eth_hispanic__latinx,share_eth_int'l,share_eth_pacific_islander,share_eth_white
ALAMEDA,Irvine,2013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Irvine,2014,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Irvine,2015,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Irvine,2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Irvine,2017,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Irvine,2018,0.14285714285714285,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.0,0.0
ALAMEDA,Irvine,2019,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.125
ALAMEDA,Irvine,2020,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0
ALAMEDA,Irvine,2021,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Irvine,2022,0.0,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0
ALAMEDA,Irvine,2023,0.0,0.0,0.7,0.0,0.0,0.3,0.0,0.0
ALAMEDA,Irvine,2024,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0
ALAMEDA,Los Angeles,2006,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.5
ALAMEDA,Los Angeles,2007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Los Angeles,2008,0.0,0.0,0.75,0.0,0.0,0.0,0.0,0.25
ALAMEDA,Los Angeles,2009,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Los Angeles,2010,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Los Angeles,2011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Los Angeles,2012,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Los Angeles,2013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Los Angeles,2014,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333
ALAMEDA,Los Angeles,2015,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
ALAMEDA,Los Angeles,2016,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ALAMEDA,Los Angeles,2017,0.0,0.0,0.42857142857142855,0.0,0.0,0.42857142857142855,0.0,0.14285714285714285
ALAMEDA,Los Angeles,2018,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
