cc_name,year,cc_perm_resident_count
BUTTE,2023,120.0
BUTTE,2024,126.0
CABRILLO,2004,68.0
CABRILLO,2005,93.0
CABRILLO,2006,74.0
CABRILLO,2007,97.0
CABRILLO,2008,12.0
CABRILLO,2009,9.0
CABRILLO,2010,2.0
CABRILLO,2011,4.0
CABRILLO,2012,4.0
CABRILLO,2013,4.0
CABRILLO,2014,4.0
CABRILLO,2015,7.0
CABRILLO,2016,4.0
CABRILLO,2017,7.0
CABRILLO,2018,580.0
CABRILLO,2019,519.0
CABRILLO,2020,407.0
CABRILLO,2021,387.0
CABRILLO,2022,352.0
CABRILLO,2023,374.0
CABRILLO,2024,372.0
CANADA,2004,75.0
CANADA,2005,90.0
CANADA,2006,90.0
CANADA,2007,144.0
CANADA,2008,1006.0
CANADA,2009,900.0
CANADA,2010,667.0
CANADA,2011,704.0
CANADA,2012,637.0
CANADA,2013,678.0
CANADA,2014,644.0
CANADA,2015,618.0
CANADA,2016,609.0
CANADA,2017,583.0
CANADA,2018,437.0
CANADA,2019,441.0
CANADA,2020,370.0
CANADA,2021,361.0
CANADA,2022,359.0
CANADA,2023,346.0
CANADA,2024,388.0
CANYONS,2004,43.0
CANYONS,2005,97.0
CANYONS,2006,169.0
CANYONS,2007,209.0
CANYONS,2008,48.0
CANYONS,2009,41.0
CANYONS,2010,25.0
CANYONS,2011,24.0
CANYONS,2012,31.0
CANYONS,2013,53.0
CANYONS,2014,78.0
CANYONS,2015,84.0
CANYONS,2016,92.0
CANYONS,2017,102.0
CANYONS,2018,649.0
CANYONS,2019,599.0
CANYONS,2020,553.0
CANYONS,2021,501.0
CANYONS,2022,445.0
CANYONS,2023,464.0
CANYONS,2024,406.0
CERRITOS,2004,2006.0
CERRITOS,2005,3485.0
CERRITOS,2006,4345.0
CERRITOS,2007,4125.0
CERRITOS,2008,22900.0
CERRITOS,2009,22212.0
CERRITOS,2010,22920.0
CERRITOS,2011,22373.0
CERRITOS,2012,39.0
CERRITOS,2013,54.0
CERRITOS,2014,153.0
CERRITOS,2015,187.0
CERRITOS,2016,175.0
CERRITOS,2017,190.0
CERRITOS,2018,1157.0
CERRITOS,2019,1251.0
CERRITOS,2020,1016.0
CERRITOS,2021,899.0
