cc_name,uc_campus,year,total_major_enrolls
ANTELOPE VALLEY,San Diego,2020,3
ANTELOPE VALLEY,Santa Barbara,2014,6
ANTELOPE VALLEY,Santa Barbara,2017,3
ANTELOPE VALLEY,Santa Barbara,2018,6
ANTELOPE VALLEY,Santa Barbara,2023,3
ANTELOPE VALLEY,Santa Cruz,2021,3
BAKERSFIELD,Berkeley,2015,4
BAKERSFIELD,Berkeley,2018,3
BAKERSFIELD,Davis,2013,3
BAKERSFIELD,Davis,2014,3
BAKERSFIELD,Davis,2015,3
BAKERSFIELD,Davis,2016,6
BAKERSFIELD,Davis,2017,9
BAKERSFIELD,Davis,2021,3
BAKERSFIELD,Davis,2022,3
BAKERSFIELD,Irvine,2016,3
BAKERSFIELD,Irvine,2019,4
BAKERSFIELD,Irvine,2020,6
BAKERSFIELD,Irvine,2023,3
BAKERSFIELD,Los Angeles,2019,3
BAKERSFIELD,Los Angeles,2022,3
BAKERSFIELD,Los Angeles,2024,5
BAKERSFIELD,Riverside,2015,3
BAKERSFIELD,Riverside,2020,3
BAKERSFIELD,Santa Barbara,2014,3
BAKERSFIELD,Santa Barbara,2015,3
BAKERSFIELD,Santa Barbara,2016,3
BAKERSFIELD,Santa Barbara,2017,4
BAKERSFIELD,Santa Barbara,2018,4
BAKERSFIELD,Santa Barbara,2019,5
BAKERSFIELD,Santa Barbara,2023,3
BAKERSFIELD,Santa Barbara,2024,3
BERKELEY CITY,Berkeley,2013,48
BERKELEY CITY,Berkeley,2014,68
BERKELEY CITY,Berkeley,2015,38
BERKELEY CITY,Berkeley,2016,77
BERKELEY CITY,Berkeley,2017,113
BERKELEY CITY,Berkeley,2018,87
BERKELEY CITY,Berkeley,2019,106
BERKELEY CITY,Berkeley,2020,109
BERKELEY CITY,Berkeley,2021,80
BERKELEY CITY,Berkeley,2022,133
BERKELEY CITY,Berkeley,2023,78
BERKELEY CITY,Berkeley,2024,77
BERKELEY CITY,Davis,2013,9
BERKELEY CITY,Davis,2014,14
BERKELEY CITY,Davis,2015,19
BERKELEY CITY,Davis,2016,7
BERKELEY CITY,Davis,2017,33
BERKELEY CITY,Davis,2018,32
BERKELEY CITY,Davis,2019,30
BERKELEY CITY,Davis,2020,22
BERKELEY CITY,Davis,2021,32
BERKELEY CITY,Davis,2022,15
