year,college,math_retention_rate,math_success_rate,english_retention_rate,english_success_rate,eops_headcount,eops_care_headcount,aid_ftft_pell_grant_rate,aid_ftft_federal_loan_rate,aid_pell_grant_rate,aid_federal_loan_rate,aid_loan_principal,aid_median_debt_first_generation_students,aid_median_debt_non_first_generation_students,student_demographics_student_faculty_ratio,cost_avg_net_price_public,cost_net_price_public_by_income_level_0_30000,cost_net_price_public_by_income_level_30001_48000,cost_net_price_public_by_income_level_48001_75000,cost_net_price_public_by_income_level_75001_110000,cost_title_iv_public_by_income_level_0_30000,cost_title_iv_public_by_income_level_30001_48000,cost_title_iv_public_by_income_level_48001_75000,cost_attendance_academic_year,cost_tuition_in_state,cost_tuition_out_of_state,cost_booksupply,cost_roomboard_offcampus,cost_otherexpense_offcampus,cost_otherexpense_withfamily,completion_title_iv_transf_completed_4yr_by_4yrs,aid_median_debt_income_0_30000,percent_stem,percent_social_science
2015,Allan Hancock,0.737870855148342,0.5937172774869109,0.7827564894932015,0.6356613102595797,274.0,30.0,0.5026,0.0359,0.2382,0.0229,5500.0,6062.5,5500.0,29.0,7198.0,6756.0,7200.0,9963.0,10390.0,123.0,42.0,15.0,13296.0,1156.0,6316.0,1764.0,11970.0,4430.0,4430.0,0.087215064,6101.0,0.0602,0.2992
2016,Allan Hancock,0.8499134948096886,0.6191608996539792,0.8747120326067694,0.7001594896331739,701.0,36.0,0.457,0.0108,0.3143,0.0178,5190.0,4750.0,5500.0,29.0,2471.0,1527.0,2712.0,4938.0,6745.0,351.0,139.0,92.0,9281.0,1176.0,5856.0,1665.0,7398.0,4158.0,4275.0,0.038167938931,4750.0,0.0279,0.2677
2021,Allan Hancock,0.8708516593362655,0.6501399440223911,0.8836440168370415,0.6719783523752255,373.0,16.0,0.2797,0.0,0.1467,0.0,,,,20.0,18140.0,17027.0,18249.0,20906.0,22887.0,94.0,50.0,29.0,25759.0,1178.0,8498.0,1125.0,17253.0,3843.0,3276.0,,,0.0552,0.3731
2022,Allan Hancock,0.7798546209761164,0.6306680512287989,0.8180032733224223,0.679214402618658,244.0,30.0,0.2511,0.0073,0.1771,0.016,,,,26.0,5856.0,4717.0,4989.0,7636.0,9460.0,85.0,32.0,43.0,12146.0,1288.0,10768.0,1152.0,17764.0,4950.0,4374.0,,,0.0842,0.36180000000000007
2012,Allan Hancock,0.8467645891226677,0.6768558951965066,0.8681201808029779,0.7218824780643446,463.0,54.0,0.248,0.0194,0.1182,0.0164,4750.0,4500.0,5250.0,32.0,10127.0,10127.0,15770.0,13792.0,16763.0,277.0,0.0,0.0,16064.0,1487.0,7935.0,1656.0,11556.0,4320.0,4320.0,0.087018545,4701.5,0.0406,0.0504
2014,Allan Hancock,0.78714722883373,0.6320979258755526,0.7662276575729069,0.6632173095014111,648.0,140.0,0.5949,0.0304,0.2348,0.0191,6000.0,7000.0,5500.0,23.0,7443.0,7228.0,7763.0,9307.0,11477.0,180.0,21.0,15.0,13547.0,1144.0,6256.0,1746.0,11493.0,4410.0,4410.0,0.054333765,6000.0,0.1462,0.1728
2013,Allan Hancock,0.7991071428571429,0.6852678571428571,0.7610103626943006,0.6463730569948186,471.0,73.0,0.6424,0.0848,0.2235,0.0417,6000.0,6000.0,6000.0,21.0,10104.0,10104.0,10174.0,11163.0,11718.0,106.0,0.0,0.0,15651.0,1144.0,6256.0,1710.0,11160.0,4419.0,4419.0,0.050524309,6500.0,0.0048,0.6334
2015,Allan Hancock,0.851150202976996,0.7168470906630582,0.863135593220339,0.7292372881355932,305.0,24.0,0.4896,0.0156,0.2612,0.0145,5064.0,5160.5,4750.0,34.0,6029.0,5525.0,5760.0,7874.0,9864.0,166.0,67.0,41.0,12092.0,1416.0,7356.0,1764.0,15168.0,4168.0,4770.0,0.075518969,5250.0,0.0746,0.12610000000000002
2017,Allan Hancock,0.9070165430690246,0.652595550484883,0.9004869141813755,0.6746804625684724,998.0,45.0,0.668,0.0298,0.3348,0.0108,3500.0,3500.0,2883.0,24.0,2465.0,1934.0,2295.0,4883.0,8862.0,372.0,176.0,70.0,9526.0,1304.0,6944.0,1000.0,9820.0,3494.0,3494.0,0.027036770007,3500.0,0.18109999999999998,0.2852
2020,Allan Hancock,0.8863969510407506,0.7109352096159484,0.8558412931667891,0.6576047024246877,1241.0,27.0,0.331,0.0031,0.1337,0.0048,7497.0,7493.0,7500.0,22.0,6382.0,5577.0,6118.0,9427.0,10597.0,270.0,86.0,59.0,14724.0,1165.0,8317.0,1971.0,16580.0,3784.0,3784.0,,8399.0,0.10250000000000001,0.49600000000000005
2023,Allan Hancock,0.8439210482667109,0.5669265218112457,0.8608868299139643,0.6289874255459961,1186.0,67.0,0.6265,0.0076,0.3515,0.0074,,,,28.0,29.0,-788.0,-348.0,1785.0,4987.0,500.0,265.0,192.0,8553.0,1394.0,8338.0,1000.0,20000.0,6000.0,5300.0,,,0.044700000000000004,0.3725
2014,Allan Hancock,0.6782296650717703,0.4712918660287081,0.7995930824008138,0.5907087148185826,504.0,61.0,0.5735,0.0294,0.305,0.0374,5980.0,6000.0,5800.0,30.0,6659.0,6407.0,6661.0,8271.0,9242.0,132.0,36.0,19.0,12370.0,1220.0,6810.0,1746.0,11493.0,4149.0,4266.0,0.04045977,6000.0,0.1072,0.2132
2016,American River,0.8312280701754386,0.6396491228070176,0.8383000777403472,0.667530448302669,713.0,99.0,0.5138,0.0138,0.243,0.0157,6000.0,5500.0,6000.0,22.0,3386.0,3375.0,2915.0,5961.0,8025.5,439.0,1.0,2.0,9932.0,1346.0,6750.0,1746.0,11493.0,4149.0,4266.0,0.033908045977,6000.0,0.0612,0.1757
2017,American River,0.7145141943222711,0.5195921631347461,0.8189394854451021,0.6803961831139026,1166.0,62.0,0.6036,0.0366,0.4146,0.0302,7691.0,7537.0,8000.0,26.0,9520.0,8961.0,9218.0,11848.0,13023.0,627.0,218.0,148.0,14874.0,1346.0,8710.0,1854.0,13292.0,4238.0,4374.0,0.028367461958,8974.0,0.045599999999999995,0.2328
2022,American River,0.7275,0.5358333333333334,0.6917850525015442,0.4342186534898085,290.0,46.0,0.7045,0.0076,0.2532,0.0099,,,,14.0,2815.0,2806.0,1738.0,4293.0,15036.5,88.0,2.0,2.0,11125.0,1142.0,8822.0,1152.0,17784.0,4860.0,4374.0,,,0.0172,0.18069999999999997
2023,American River,0.7443336355394379,0.4356300997280145,0.8393316195372751,0.6435304198800342,476.0,33.0,0.549,0.0026,0.3244,0.0054,,,,25.0,11812.0,10791.0,11894.0,13598.0,16462.0,319.0,170.0,123.0,20053.0,1326.0,9586.0,938.0,25965.0,4428.0,4428.0,,,0.06299999999999999,0.3029
2012,American River,0.7728459530026109,0.5832898172323759,0.8313253012048193,0.7425353588266108,965.0,37.0,0.4941,0.0286,0.2581,0.0275,4750.0,4750.0,4662.5,35.0,9056.0,9056.0,8790.0,11029.0,13099.0,584.0,0.0,0.0,14815.0,1172.0,5204.0,1664.0,13302.0,5058.0,5174.0,0.059382423,4750.0,0.0399,0.1905
2014,American River,0.7735449735449735,0.5703703703703704,0.8158347676419966,0.6293746414228342,613.0,34.0,0.7184,0.0181,0.3815,0.0315,3500.0,3500.0,3500.0,25.0,6156.0,6032.0,6694.0,8069.0,3800.0,166.0,25.0,5.0,12021.0,1220.0,6810.0,1746.0,11493.0,4149.0,4266.0,0.036803365,3500.0,0.008,0.19240000000000002
2016,American River,0.8126042014004669,0.6618872957652551,0.8394900294213795,0.7224583197123243,567.0,75.0,0.3768,0.004,0.279,0.0183,4750.0,4750.0,5500.0,23.0,4450.0,3931.0,3677.0,6943.0,7959.0,182.0,52.0,47.0,10878.0,1308.0,7944.0,1792.0,12492.0,4158.0,4286.0,0.048018292683,5500.0,0.0653,0.2168
